"Characteristics","Estimate"
"      Total","1,685.6"
"",""
"Rooms",""
"",""
"1","S"
"2","14.2"
"3","103.3"
"4","255.9"
"5","388.1"
"6","370.9"
"7","265.8"
"8","161.3"
"9","78.9"
"10 or more","43.8"
"",""
"Persons per Room",""
"",""
"0.50 or less","1,193.2"
"0.51 to 1.00","451.7"
"1.01 to 1.50","38.6"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","13.4"
"1","147.7"
"2","418.5"
"3","630.1"
"4 or more","475.9"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","430.1"
"0.51 to 1.00","831.9"
"1.01 to 1.50","219.4"
"1.51 or more","190.8"
"No bedrooms","13.4"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","1,685.6"
"  1","278.5"
"  1 1/2","93.4"
"  2","855.1"
"  2 1/2","234.5"
"  3","189.5"
"  More than 3","34.6"
"No complete bathroom","."
"  Sink and toilet present","."
"  Tub and toilet present","."
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","."
"",""
"Square Footage of Unit",""
"",""
"Less than 500","34.0"
"500 to 749","88.8"
"750 to 999","170.2"
"1,000 to 1,499","407.9"
"1,500 to 1,999","394.1"
"2,000 to 2,499","237.2"
"2,500 to 2,999","104.4"
"3,000 to 3,999","119.4"
"4,000 or more","47.6"
"Not reported","81.8"
"Median (square feet)","1,600.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","44.4"
"200 to 299","104.4"
"300 to 399","153.0"
"400 to 499","144.0"
"500 to 599","161.2"
"600 to 699","147.7"
"700 to 799","138.4"
"800 to 899","123.6"
"900 to 999","96.2"
"1,000 to 1,499","296.6"
"1,500 or more","194.4"
"Not reported","81.8"
"Median (square feet)","725.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","1,262.4"
"Less than 1/8 acre","193.3"
"1/8 up to 1/4 acre","806.1"
"1/4 up to 1/2 acre","139.7"
"1/2 up to 1 acre","38.1"
"1 up to 5 acres","79.1"
"5 up to 10 acres","S"
"10 acres or more","S"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","1,575.4"
"Usable fireplace","453.4"
"Separate dining room","777.6"
"With 2 or more living rooms or recreation rooms, etc.","613.2"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","1,428.2"
"",""
"Phone Service",""
"",""
"Cell phone available","1,441.7"
"",""
