"Characteristics","Estimate"
"      Total","1,047.6"
"",""
"Rooms",""
"",""
"1","S"
"2","S"
"3","63.5"
"4","120.5"
"5","186.2"
"6","233.3"
"7","178.7"
"8","133.4"
"9","60.3"
"10 or more","65.5"
"",""
"Persons per Room",""
"",""
"0.50 or less","844.5"
"0.51 to 1.00","194.6"
"1.01 to 1.50","8.6"
"1.51 or more","."
"",""
"Bedrooms",""
"",""
"None","S"
"1","101.6"
"2","227.1"
"3","440.7"
"4 or more","275.2"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","323.2"
"0.51 to 1.00","527.6"
"1.01 to 1.50","120.0"
"1.51 or more","73.9"
"No bedrooms","S"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","1,046.9"
"  1","268.3"
"  1 1/2","177.1"
"  2","184.7"
"  2 1/2","243.8"
"  3","142.6"
"  More than 3","30.4"
"No complete bathroom","S"
"  Sink and toilet present","."
"  Tub and toilet present","."
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","S"
"",""
"Square Footage of Unit",""
"",""
"Less than 500","13.8"
"500 to 749","39.4"
"750 to 999","82.3"
"1,000 to 1,499","177.6"
"1,500 to 1,999","134.5"
"2,000 to 2,499","124.7"
"2,500 to 2,999","57.8"
"3,000 to 3,999","76.6"
"4,000 or more","38.4"
"Not reported","302.6"
"Median (square feet)","1,668.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","14.8"
"200 to 299","31.3"
"300 to 399","55.2"
"400 to 499","80.5"
"500 to 599","62.6"
"600 to 699","77.0"
"700 to 799","53.7"
"800 to 899","47.2"
"900 to 999","43.4"
"1,000 to 1,499","151.8"
"1,500 or more","127.6"
"Not reported","302.6"
"Median (square feet)","790.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","758.6"
"Less than 1/8 acre","273.7"
"1/8 up to 1/4 acre","193.0"
"1/4 up to 1/2 acre","118.0"
"1/2 up to 1 acre","64.9"
"1 up to 5 acres","85.3"
"5 up to 10 acres","12.4"
"10 acres or more","11.3"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","846.6"
"Usable fireplace","356.4"
"Separate dining room","727.2"
"With 2 or more living rooms or recreation rooms, etc.","449.6"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","393.8"
"",""
"Phone Service",""
"",""
"Cell phone available","826.7"
"",""
