,House Size,AC Type,<15k,15k-34999,35k-74999,75k-99999,>100k,counts
0,0-1499,Central,0.11706201193571124,0.17714903306192936,0.35228037333047774,0.14717551656150074,0.20633306511038096,1.0
1,0-1499,Room,0.25735014292332237,0.27484823355426885,0.286047115934846,0.11417203371136748,0.06758247387619515,1.0
2,0-1499,None,0.24103278081583532,0.3205478327155891,0.2900724152086144,0.03929435499215507,0.10905261626780616,1.0
3,1500-2499,Central,0.03663986871434705,0.08250147636373406,0.2507720644810386,0.12292907672898361,0.5071575137118967,1.0
4,1500-2499,Room,0.1367595941250838,0.28562518448915264,0.2908009381586878,0.11123323328274233,0.17558104994433352,1.0
5,1500-2499,None,0.15149467141327297,0.1692602668791471,0.24551719227181887,0.22784592268424522,0.2058819467515158,1.0
6,2500-3499,Central,0.023356579133346673,0.0640246542665844,0.18624237574356034,0.07978757830189723,0.6465888125546113,0.9999999999999999
7,2500-3499,Room,0.380675371213934,0.08569196097654724,0.11032098876801041,0.22216940123927248,0.2011422778022358,1.0
8,2500-3499,None,0.16612295816120723,0.3604779148854703,0.03997432801622263,0.2956908080113187,0.13773399092578123,1.0000000000000002
9,3500+,Central,0.05129575538400582,0.04421637452381634,0.1350528303360101,0.11709277707995185,0.652342262676216,1.0
10,3500+,Room,0.09373460095361927,0.3371182776912525,0.1610079139483779,0.2890437488743622,0.11909545853238802,0.9999999999999998
11,3500+,None,0.2051145275139097,0.40769079110178613,0.1406275924725546,0.022405504082744138,0.22416158482900544,1.0
