"Characteristics","Estimate"
"      Total","1,853.8"
"",""
"Rooms",""
"",""
"1","S"
"2","16.0"
"3","215.4"
"4","297.3"
"5","328.5"
"6","362.7"
"7","281.1"
"8","194.3"
"9","80.9"
"10 or more","72.5"
"",""
"Persons per Room",""
"",""
"0.50 or less","1,328.1"
"0.51 to 1.00","502.2"
"1.01 to 1.50","22.5"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","S"
"1","272.4"
"2","507.1"
"3","645.8"
"4 or more","419.8"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","400.5"
"0.51 to 1.00","974.8"
"1.01 to 1.50","273.4"
"1.51 or more","196.5"
"No bedrooms","S"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","1,850.9"
"  1","809.2"
"  1 1/2","325.8"
"  2","308.6"
"  2 1/2","252.5"
"  3","133.9"
"  More than 3","20.9"
"No complete bathroom","S"
"  Sink and toilet present","."
"  Tub and toilet present","S"
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","S"
"",""
"Square Footage of Unit",""
"",""
"Less than 500","54.2"
"500 to 749","135.2"
"750 to 999","214.9"
"1,000 to 1,499","390.0"
"1,500 to 1,999","290.1"
"2,000 to 2,499","203.5"
"2,500 to 2,999","105.8"
"3,000 to 3,999","101.8"
"4,000 or more","80.9"
"Not reported","277.5"
"Median (square feet)","1,475.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","34.3"
"200 to 299","96.5"
"300 to 399","177.8"
"400 to 499","206.8"
"500 to 599","152.3"
"600 to 699","155.7"
"700 to 799","124.8"
"800 to 899","113.3"
"900 to 999","83.3"
"1,000 to 1,499","242.1"
"1,500 or more","189.4"
"Not reported","277.5"
"Median (square feet)","666.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","1,014.0"
"Less than 1/8 acre","158.3"
"1/8 up to 1/4 acre","275.2"
"1/4 up to 1/2 acre","226.0"
"1/2 up to 1 acre","161.7"
"1 up to 5 acres","173.0"
"5 up to 10 acres","S"
"10 acres or more","10.2"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","1,432.8"
"Usable fireplace","688.8"
"Separate dining room","972.6"
"With 2 or more living rooms or recreation rooms, etc.","694.2"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","798.7"
"",""
"Phone Service",""
"",""
"Cell phone available","1,518.4"
"",""
