"Characteristics","Estimate"
"      Total","1,853.8"
"",""
"Units Using Each Fuel",""
"",""
"Electricity","1,850.8"
"Gas","1,384.7"
"Fuel oil","499.9"
"Other","143.0"
"",""
"Main Heating Equipment",""
"",""
"Warm-air furnace","803.2"
"Steam or hot water system","791.8"
"Electric heat pump","36.8"
"Built-in electric units","129.1"
"Floor, wall, or other built-in hot-air units without ducts","59.6"
"Room heaters with flue","13.3"
"Room heaters without flue","S"
"Portable electric heaters","S"
"Stoves","S"
"Fireplaces with inserts","S"
"Fireplaces without inserts","S"
"Cooking stove","."
"Other","S"
"None","."
"",""
"Main House Heating Fuel",""
"",""
"      Housing units with heating fuel","1,853.8"
"Electricity","352.7"
"Piped gas","971.4"
"Bottled gas","56.3"
"Fuel oil","446.6"
"Kerosene or other liquid fuel","S"
"Coal or coke","."
"Wood","12.1"
"Solar energy","S"
"Other","S"
"",""
"Supplemental Heating Equipment",""
"",""
"Warm-air furnace","15.9"
"Steam or hot water system","10.6"
"Electric heat pump","13.2"
"Built-in electric units","36.2"
"Floor, wall, or other built-in hot-air units without ducts","S"
"Room heaters with flue","S"
"Room heaters without flue","S"
"Portable electric heaters","98.5"
"Stoves","54.3"
"Outdoor wood fired boiler","."
"Gas oven with the door open","S"
"Cooking stove","32.9"
"Other","19.1"
"Not reported","S"
"No supplemental heating","1,576.1"
"",""
"Primary Air Conditioning",""
"",""
"With primary air conditioning","1,668.4"
"  Central air conditioning","674.6"
"    Powered by:",""
"      Electric","589.0"
"      Piped gas","71.4"
"      Liquid propane gas","11.3"
"      Other","S"
"  Room air conditioning","993.8"
"    Unit has 1 room air conditioner","332.6"
"    Unit has 2 room air conditioners","339.2"
"    Unit has 3 room air conditioners","186.0"
"    Unit has 4 room air conditioners","106.3"
"    Unit has 5 room air conditioners","24.5"
"    Unit has 6 room air conditioners","S"
"    Unit has 7 or more room air conditioners","S"
"Unit does not have air conditioning","185.4"
"",""
"Secondary Air Conditioning",""
"",""
"With secondary air conditioning","102.5"
"  Central air conditioning","48.0"
"    Powered by:",""
"      Electric","41.1"
"      Piped gas","S"
"      Liquid propane gas","S"
"      Other","."
"  Room air conditioning","54.5"
"    Unit has 1 room air conditioner","38.7"
"    Unit has 2 room air conditioners","11.5"
"    Unit has 3 room air conditioners","S"
"    Unit has 4 room air conditioners","."
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have secondary air conditioning","1,751.3"
"",""
"Water Heating Fuel",""
"",""
"      With hot piped water","1,847.8"
"Electricity","435.1"
"Piped gas","1,059.0"
"Bottled gas","52.9"
"Fuel oil","296.1"
"Solar energy","S"
"Other","S"
"",""
"Kitchen Equipment",""
"",""
"With complete kitchen (sink, refrigerator, and oven or burners)","1,804.1"
"Lacking complete kitchen facilities","49.7"
"Kitchen sink","1,849.5"
"Refrigerator","1,847.8"
"Cooking stove or range","1,835.4"
"Burners, no stove or range","S"
"Microwave oven only","S"
"Dishwasher","1,407.1"
"",""
"Laundry Equipment",""
"",""
"Washing machine","1,418.7"
"Clothes dryer","1,386.0"
"",""
"Cooking Fuel",""
"",""
"      With cooking fuel","1,850.9"
"Electricity","863.8"
"Piped gas","890.6"
"Bottled gas","94.6"
"Other","S"
"",""
"Clothes Dryer Fuel",""
"",""
"      With clothes dryer","1,386.0"
"Electricity","1,015.8"
"Piped gas","345.5"
"Bottled gas","24.7"
"Other","."
"",""
"Carbon Monoxide Detector",""
"",""
"Yes","1,627.4"
"No","175.7"
"Not reported","50.6"
"",""
"Solar Panels",""
"",""
"Yes","68.2"
"No","1,777.2"
"Not reported","S"
"",""
