,House Size,AC Type,<15k,15k-34999,35k-74999,75k-99999,>100k,counts
0,0-1499,Central,0.12174372433768947,0.16009400824999748,0.2661178335403033,0.10703655874105082,0.3450078751309589,0.9999999999999999
1,0-1499,Room,0.12439981488239431,0.17406489744494513,0.29589981514804037,0.1272232683998868,0.2784122041247333,0.9999999999999998
2,0-1499,None,0.1700093845946427,0.31342761337999075,0.2087870880991486,0.1039428383549604,0.20383307557125763,1.0
3,1500-2499,Central,0.030288639203958145,0.05727162512224786,0.19316452007280357,0.11672149289042812,0.6025537227105624,1.0
4,1500-2499,Room,0.033999909517962314,0.08679031697784675,0.22227474467446914,0.1328231621782476,0.5241118666514742,1.0
5,1500-2499,None,0.05760620717473894,0.07352462185150457,0.20106671516085453,0.11526588103880135,0.5525365747741006,1.0
6,2500-3499,Central,0.02061750701461006,0.07017273455372525,0.14925583374033868,0.045837944427952,0.714115980263374,1.0
7,2500-3499,Room,0.1744391462656504,0.06081611779889802,0.138594128138425,0.0834247129744714,0.5427258948225552,1.0
8,2500-3499,None,0.1857525156697403,0.2803816164851637,0.2279665424166941,0.21456524523155274,0.09133408019684919,1.0
9,3500+,Central,0.09826653305326936,0.09489132325406452,0.11996188722285368,0.06877076899952073,0.6181094874702918,1.0
10,3500+,Room,0.0917582932052463,0.07857384529654449,0.19099978058435732,0.1958070135560362,0.4428610673578158,1.0
11,3500+,None,0.18239865764583013,0.06513597730016023,0.3108681289583243,0.35437116286099996,0.08722607323468538,0.9999999999999999
