Characteristics,Estimate
      Total,467.20
,
Units Using Each Fuel,
,
Electricity,467.20
Piped gas,435.20
Bottled gas,13.40
Fuel oil,13.20
Kerosene or other liquid fuel,0.70
Coal or coke,0.10
Wood,5.50
Solar energy,.
Other,2.30
,
All electric units,12.60
,
Main Heating Equipment,
,
Warm-air furnace,348.00
Steam or hot water system,88.10
Electric heat pump,0.20
Built-in electric units,11.40
"Floor, wall, or other built-in hot-air units without ducts",9.00
Room heaters with flue,2.50
Room heaters without flue,1.20
Portable electric heaters,1.00
Stoves,2.70
Fireplaces with inserts,0.20
Fireplaces without inserts,.
Cooking stove,0.20
Other,2.80
None,.
,
Main House Heating Fuel,
,
      Housing units with heating fuel,467.20
Electricity,25.50
Piped gas,413.50
Bottled gas,8.70
Fuel oil,12.30
Kerosene or other liquid fuel,0.50
Coal or coke,0.10
Wood,5.50
Solar energy,.
Other,1.00
,
Other Heating Equipment,
,
Warm-air furnace,1.00
Steam or hot water system,0.60
Electric heat pump,0.30
Built-in electric units,4.90
"Floor, wall, or other built-in hot-air units without ducts",0.20
Room heaters with flue,3.50
Room heaters without flue,3.20
Portable electric heaters,51.90
Stoves,19.10
Fireplaces with inserts,29.60
Fireplaces without inserts,17.10
Cooking stove,0.30
Other,3.30
None,342.40
,
Air conditioning,
,
Central,183.00
  Additional central,5.60
Room (air conditioning) units:,143.00
  1 unit,95.80
  2 units,48.80
  3 units or more,19.00
No unit,0.00
Central Air Conditioning Fuel,
,
      With central air conditioning,183.00
Electricity,164.40
Piped gas,18.40
Other,0.20
,
Other Central Air Fuel,
,
      With other central air,5.60
Electricity,5.60
Gas,.
Other,.
,
Water Heating Fuel,
,
      With hot piped water,466.30
Electricity,33.90
Piped gas,416.40
Bottled gas,11.50
Fuel oil,4.10
Solar energy,.
Other,0.30
,
Kitchen and Laundry Equipment,
,
"With complete kitchen (sink, refrigerator, and oven or burners)",457.00
Lacking complete kitchen facilities,10.20
Kitchen sink,465.90
Disposal in kitchen sink,124.80
Refrigerator,465.00
Cooking stove or range,462.50
"Burners, no stove or range",0.40
Microwave oven only,3.10
Dishwasher,266.20
Trash compactor,9.40
Washing machine,380.60
Clothes dryer,374.10
,
ENERGY STAR Rated Appliances,
,
Refrigerator,198.10
Dishwasher,110.10
Trash compactor,0.80
Washing machine,157.70
Clothes dryer,73.50
Central air conditioning equipment,58.50
Room air conditioner,68.30
Heating equipment,112.70
,
Cooking Fuel,
,
      With cooking fuel,466.00
Electricity,177.60
Piped gas,279.30
Bottled gas,8.70
Other,0.30
,
Clothes Dryer Fuel,
,
      With clothes dryer,374.10
Electricity,125.70
Piped gas,242.10
Other,6.40
