Characteristics,Estimate
      Total,467.20
,
Rooms,
,
1,1.10
2,1.30
3,27.80
4,62.50
5,108.40
6,116.70
7,82.30
8,41.20
9,16.10
10 or more,9.80
,
Persons per Room,
,
0.50 or less,361.60
0.51 to 1.00,103.20
1.01 to 1.50,2.20
1.51 or more,0.20
,
Bedrooms,
,
None,1.50
1,35.50
2,118.80
3,212.30
4 or more,99.00
,
Persons per Bedroom,
,
0.50 or less,148.90
0.51 to 1.00,228.40
1.01 to 1.50,61.60
1.51 or more,26.80
No bedrooms,1.50
,
Complete Bathrooms,
,
None,1.30
1,248.80
1 1/2,95.40
2 or more,121.70
,
Square Footage of Unit,
,
Less than 500,9.00
500 to 749,21.90
750 to 999,31.30
"1,000 to 1,499",93.40
"1,500 to 1,999",72.10
"2,000 to 2,499",46.20
"2,500 to 2,999",23.20
"3,000 to 3,999",26.20
"4,000 or more",11.50
Not reported,132.40
Median (square feet),1500.00
,
Square Feet per Person,
,
Less than 200,4.70
200 to 299,17.30
300 to 399,32.60
400 to 499,36.30
500 to 599,33.90
600 to 699,31.30
700 to 799,30.70
800 to 899,21.40
900 to 999,17.90
"1,000 to 1,499",57.60
"1,500 or more",51.20
Not reported,132.40
Median (square feet),720.00
,
Lot Size,
,
      1-unit structures,321.80
Less than 1/8 acre,75.30
1/8 up to 1/4 acre,104.00
1/4 up to 1/2 acre,55.10
1/2 up to 1 acre,32.90
1 up to 5 acres,38.20
5 up to 10 acres,6.60
10 acres or more,9.70
,
Rooms Used for Business,
,
Business only:,
  1 or more rooms with direct access,16.10
"  1 or more rooms, no direct access",21.80
  Not reported,0.50
,
Business and other use:,
  1 or more rooms,49.10
  Not reported,0.50
,
Selected Amenities,
,
"Porch, deck, balcony, or patio",369.20
Telephone available,444.50
Usable fireplace,130.30
Separate dining room,273.40
"With 2 or more living rooms or recreation rooms, etc.",131.60
,
Vehicle Parking,
,
Garage or carport included with home,311.30
Garage or carport not included with home,155.90
  Driveway or off-street parking available,130.40
  Driveway or off-street parking not available,25.50
  Driveway or off-street parking not reported,.
Garage or carport not reported,.
,
Vehicles Available,
,
"Vehicle(s) (cars, trucks, or vans)",416.30
  1 vehicle,173.60
  2 vehicles,172.20
  3 or more vehicles,70.50
No vehicles,50.90
,
Car(s),362.10
  1 car,216.70
  2 cars,112.30
  3 or more cars,33.10
No cars,105.10
,
Truck(s) or van(s),168.50
  1 truck or van,126.50
  2 or more truck(s) or van(s),42.00
No truck(s) or van(s),298.70
