"Characteristics","Estimate"
"      Total","3,526.5"
"",""
"Rooms",""
"",""
"1","32.3"
"2","40.4"
"3","297.9"
"4","546.4"
"5","791.9"
"6","709.9"
"7","511.9"
"8","296.5"
"9","180.9"
"10 or more","118.4"
"",""
"Persons per Room",""
"",""
"0.50 or less","2,472.8"
"0.51 to 1.00","976.0"
"1.01 to 1.50","75.3"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","54.0"
"1","422.7"
"2","968.3"
"3","1,318.6"
"4 or more","763.0"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","863.7"
"0.51 to 1.00","1,686.5"
"1.01 to 1.50","491.8"
"1.51 or more","430.5"
"No bedrooms","54.0"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","3,524.8"
"  1","1,295.7"
"  1 1/2","524.9"
"  2","745.0"
"  2 1/2","598.7"
"  3","295.0"
"  More than 3","65.5"
"No complete bathroom","S"
"  Sink and toilet present","."
"  Tub and toilet present","."
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","S"
"",""
"Square Footage of Unit",""
"",""
"Less than 500","106.1"
"500 to 749","221.0"
"750 to 999","460.8"
"1,000 to 1,499","807.5"
"1,500 to 1,999","610.5"
"2,000 to 2,499","364.2"
"2,500 to 2,999","191.8"
"3,000 to 3,999","233.8"
"4,000 or more","120.1"
"Not reported","410.8"
"Median (square feet)","1,400.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","104.4"
"200 to 299","244.2"
"300 to 399","309.7"
"400 to 499","344.5"
"500 to 599","285.3"
"600 to 699","277.6"
"700 to 799","236.6"
"800 to 899","253.6"
"900 to 999","214.1"
"1,000 to 1,499","509.2"
"1,500 or more","336.6"
"Not reported","410.8"
"Median (square feet)","675.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","2,111.8"
"Less than 1/8 acre","524.3"
"1/8 up to 1/4 acre","956.2"
"1/4 up to 1/2 acre","395.1"
"1/2 up to 1 acre","106.9"
"1 up to 5 acres","84.8"
"5 up to 10 acres","35.5"
"10 acres or more","S"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","2,819.7"
"Usable fireplace","1,124.5"
"Separate dining room","1,865.9"
"With 2 or more living rooms or recreation rooms, etc.","1,254.0"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","2,466.7"
"",""
"Phone Service",""
"",""
"Cell phone available","2,872.5"
"",""
