"Characteristics","Estimate"
"      Total","705.0"
"",""
"Rooms",""
"",""
"1","0.7"
"2","2.3"
"3","48.2"
"4","119.1"
"5","164.1"
"6","142.6"
"7","97.5"
"8","70.5"
"9","33.6"
"10 or more","26.4"
"",""
"Persons per Room",""
"",""
"0.50 or less","528.9"
"0.51 to 1.00","168.0"
"1.01 to 1.50","7.7"
"1.51 or more","0.4"
"",""
"Bedrooms",""
"",""
"None","1.6"
"1","62.1"
"2","191.9"
"3","297.0"
"4 or more","152.4"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","201.3"
"0.51 to 1.00","346.0"
"1.01 to 1.50","97.7"
"1.51 or more","58.4"
"No bedrooms","1.6"
"",""
"Complete Bathrooms",""
"",""
"None","2.3"
"1","248.0"
"1 1/2","126.3"
"2 or more","328.4"
"",""
"Square Footage of Unit",""
"",""
"Less than 500","8.8"
"500 to 749","37.7"
"750 to 999","77.4"
"1,000 to 1,499","143.9"
"1,500 to 1,999","131.9"
"2,000 to 2,499","91.4"
"2,500 to 2,999","43.2"
"3,000 to 3,999","42.2"
"4,000 or more","21.4"
"Not reported","107.0"
"Median (square feet)","1,580.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","8.9"
"200 to 299","31.6"
"300 to 399","54.3"
"400 to 499","60.9"
"500 to 599","58.1"
"600 to 699","57.1"
"700 to 799","47.0"
"800 to 899","48.5"
"900 to 999","40.3"
"1,000 to 1,499","112.1"
"1,500 or more","79.3"
"Not reported","107.0"
"Median (square feet)","750.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","521.0"
"Less than 1/8 acre","76.1"
"1/8 up to 1/4 acre","165.2"
"1/4 up to 1/2 acre","107.4"
"1/2 up to 1 acre","53.4"
"1 up to 5 acres","82.4"
"5 up to 10 acres","22.5"
"10 acres or more","13.9"
"",""
"Rooms Used for Business",""
"",""
"Business only:",""
"  1 or more rooms with direct access","12.9"
"  1 or more rooms, no direct access","37.3"
"  Not reported","2.3"
"",""
"Business and other use:",""
"  1 or more rooms","95.6"
"  Not reported","2.3"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","622.4"
"Telephone available","667.7"
"Usable fireplace","266.8"
"Separate dining room","343.0"
"With 2 or more living rooms or recreation rooms, etc.","243.5"
"",""
"Vehicle Parking",""
"",""
"Garage or carport included with home","478.9"
"Garage or carport not included with home","226.1"
"  Driveway or off-street parking available","205.8"
"  Driveway or off-street parking not available","20.3"
"  Driveway or off-street parking not reported","."
"Garage or carport not reported","."
"",""
"Vehicles Available",""
"",""
"Vehicle(s) (cars, trucks, or vans)","661.0"
"  1 vehicle","246.9"
"  2 vehicles","281.6"
"  3 or more vehicles","132.5"
"No vehicles","44.0"
"",""
"Car(s)","595.6"
"  1 car","336.0"
"  2 cars","203.2"
"  3 or more cars","56.4"
"No cars","109.5"
"",""
"Truck(s) or van(s)","256.0"
"  1 truck or van","192.3"
"  2 or more truck(s) or van(s)","63.7"
"No truck(s) or van(s)","449.0"
"",""
