Characteristics,Estimate
      Total,705
,
Units Using Each Fuel,
,
Electricity,704.8
Piped gas,535.5
Bottled gas,39
Fuel oil,11.4
Kerosene or other liquid fuel,0.3
Coal or coke,.
Wood,5.2
Solar energy,.
Other,2.8
,
All electric units,131
,
Main Heating Equipment,
,
Warm-air furnace,619.5
Steam or hot water system,7.7
Electric heat pump,44
Built-in electric units,15.7
"Floor, wall, or other built-in hot-air units without ducts",11.3
Room heaters with flue,1
Room heaters without flue,0.5
Portable electric heaters,1.2
Stoves,2.6
Fireplaces with inserts,0.2
Fireplaces without inserts,.
Cooking stove,.
Other,1.3
None,.
,
Main House Heating Fuel,
,
      Housing units with heating fuel,705
Electricity,160.9
Piped gas,494.9
Bottled gas,32.6
Fuel oil,9.7
Kerosene or other liquid fuel,0.3
Coal or coke,.
Wood,5.2
Solar energy,.
Other,1.4
,
Other Heating Equipment,
,
Warm-air furnace,1.3
Steam or hot water system,.
Electric heat pump,.
Built-in electric units,12.6
"Floor, wall, or other built-in hot-air units without ducts",0.2
Room heaters with flue,2.2
Room heaters without flue,8.2
Portable electric heaters,113.3
Stoves,23.2
Fireplaces with inserts,19.1
Fireplaces without inserts,41.4
Cooking stove,.
Other,5
None,499.8
,
Air conditioning,603
,
Central,589.2
  Additional central,14.4
Room (air conditioning) units:,94
  1 unit,43.8
  2 units,37.3
  3 units or more,13.1
None,0
Central Air Conditioning Fuel,
,
      With central air conditioning,589.2
Electricity,571.6
Piped gas,15.6
Other,1.9
,
Other Central Air Fuel,
,
      With other central air,14.4
Electricity,13.9
Gas,0.5
Other,.
,
Water Heating Fuel,
,
      With hot piped water,703.5
Electricity,229.8
Piped gas,458.3
Bottled gas,14.3
Fuel oil,0.9
Solar energy,.
Other,0.3
,
Kitchen and Laundry Equipment,
,
"With complete kitchen (sink, refrigerator, and oven or burners)",692.6
Lacking complete kitchen facilities,12.4
Kitchen sink,704.3
Disposal in kitchen sink,557.3
Refrigerator,703.5
Cooking stove or range,700.2
"Burners, no stove or range",1.4
Microwave oven only,2.7
Dishwasher,513.3
Trash compactor,17.4
Washing machine,624.7
Clothes dryer,622.1
,
ENERGY STAR Rated Appliances,
,
Refrigerator,234.4
Dishwasher,173.5
Trash compactor,3.1
Washing machine,227.6
Clothes dryer,109.8
Central air conditioning equipment,98.7
Room air conditioner,27.6
Heating equipment,121.9
,
Cooking Fuel,
,
      With cooking fuel,704.3
Electricity,506.2
Piped gas,188.4
Bottled gas,9
Other,0.7
,
Clothes Dryer Fuel,
,
      With clothes dryer,622.1
Electricity,573.9
Piped gas,46
Other,2.2
