"Characteristics","Estimate"
"      Total","2,564.7"
"",""
"Rooms",""
"",""
"1","S"
"2","15.5"
"3","226.5"
"4","373.6"
"5","518.7"
"6","560.1"
"7","373.4"
"8","248.9"
"9","120.1"
"10 or more","125.0"
"",""
"Persons per Room",""
"",""
"0.50 or less","1,853.5"
"0.51 to 1.00","646.5"
"1.01 to 1.50","63.6"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","S"
"1","379.5"
"2","509.5"
"3","979.4"
"4 or more","689.2"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","610.0"
"0.51 to 1.00","1,325.1"
"1.01 to 1.50","301.3"
"1.51 or more","321.2"
"No bedrooms","S"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","2,563.8"
"  1","667.9"
"  1 1/2","162.4"
"  2","1,048.5"
"  2 1/2","280.0"
"  3","289.5"
"  More than 3","115.5"
"No complete bathroom","S"
"  Sink and toilet present","S"
"  Tub and toilet present","."
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","."
"",""
"Square Footage of Unit",""
"",""
"Less than 500","28.8"
"500 to 749","224.0"
"750 to 999","321.4"
"1,000 to 1,499","527.1"
"1,500 to 1,999","505.4"
"2,000 to 2,499","328.1"
"2,500 to 2,999","168.8"
"3,000 to 3,999","208.2"
"4,000 or more","102.9"
"Not reported","149.9"
"Median (square feet)","1,586.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","69.6"
"200 to 299","163.2"
"300 to 399","221.7"
"400 to 499","225.1"
"500 to 599","226.1"
"600 to 699","232.1"
"700 to 799","247.9"
"800 to 899","165.3"
"900 to 999","174.5"
"1,000 to 1,499","373.0"
"1,500 or more","316.3"
"Not reported","149.9"
"Median (square feet)","702.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","1,805.8"
"Less than 1/8 acre","158.0"
"1/8 up to 1/4 acre","1,095.9"
"1/4 up to 1/2 acre","281.7"
"1/2 up to 1 acre","75.7"
"1 up to 5 acres","155.3"
"5 up to 10 acres","23.6"
"10 acres or more","15.5"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","2,307.8"
"Usable fireplace","1,433.8"
"Separate dining room","1,603.6"
"With 2 or more living rooms or recreation rooms, etc.","749.5"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","1,892.8"
"",""
"Phone Service",""
"",""
"Cell phone available","2,192.0"
"",""
