"Characteristics","Estimate"
"      Total","1,723.3"
"",""
"Rooms",""
"",""
"1","S"
"2","S"
"3","134.8"
"4","215.1"
"5","391.1"
"6","432.8"
"7","246.7"
"8","164.0"
"9","65.9"
"10 or more","64.7"
"",""
"Persons per Room",""
"",""
"0.50 or less","1,306.0"
"0.51 to 1.00","404.7"
"1.01 to 1.50","9.7"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","S"
"1","175.2"
"2","368.1"
"3","794.3"
"4 or more","381.5"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","512.5"
"0.51 to 1.00","838.3"
"1.01 to 1.50","242.5"
"1.51 or more","125.7"
"No bedrooms","S"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","1,722.7"
"  1","574.8"
"  1 1/2","360.4"
"  2","333.2"
"  2 1/2","290.4"
"  3","132.1"
"  More than 3","31.8"
"No complete bathroom","S"
"  Sink and toilet present","S"
"  Tub and toilet present","."
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","."
"",""
"Square Footage of Unit",""
"",""
"Less than 500","19.8"
"500 to 749","121.4"
"750 to 999","245.2"
"1,000 to 1,499","446.7"
"1,500 to 1,999","261.9"
"2,000 to 2,499","187.4"
"2,500 to 2,999","99.6"
"3,000 to 3,999","117.9"
"4,000 or more","70.4"
"Not reported","152.9"
"Median (square feet)","1,400.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","31.1"
"200 to 299","102.7"
"300 to 399","148.2"
"400 to 499","174.4"
"500 to 599","129.9"
"600 to 699","148.3"
"700 to 799","128.9"
"800 to 899","107.6"
"900 to 999","110.9"
"1,000 to 1,499","284.8"
"1,500 or more","203.6"
"Not reported","152.9"
"Median (square feet)","725.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","1,289.1"
"Less than 1/8 acre","307.3"
"1/8 up to 1/4 acre","470.1"
"1/4 up to 1/2 acre","259.8"
"1/2 up to 1 acre","106.9"
"1 up to 5 acres","100.7"
"5 up to 10 acres","25.8"
"10 acres or more","18.6"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","1,561.6"
"Usable fireplace","705.3"
"Separate dining room","897.6"
"With 2 or more living rooms or recreation rooms, etc.","596.7"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","1,270.3"
"",""
"Phone Service",""
"",""
"Cell phone available","1,471.5"
"",""
