"Characteristics","Estimate"
"      Total","1,723.3"
"",""
"Units Using Each Fuel",""
"",""
"Electricity","1,722.3"
"Gas","1,673.9"
"Fuel oil","17.0"
"Other","59.8"
"",""
"Main Heating Equipment",""
"",""
"Warm-air furnace","1,514.4"
"Steam or hot water system","120.8"
"Electric heat pump","S"
"Built-in electric units","30.8"
"Floor, wall, or other built-in hot-air units without ducts","42.8"
"Room heaters with flue","S"
"Room heaters without flue","S"
"Portable electric heaters","."
"Stoves","S"
"Fireplaces with inserts","."
"Fireplaces without inserts","."
"Cooking stove","."
"Other","S"
"None","."
"",""
"Main House Heating Fuel",""
"",""
"      Housing units with heating fuel","1,723.3"
"Electricity","225.0"
"Piped gas","1,442.0"
"Bottled gas","35.3"
"Fuel oil","S"
"Kerosene or other liquid fuel","S"
"Coal or coke","."
"Wood","S"
"Solar energy","S"
"Other","S"
"",""
"Supplemental Heating Equipment",""
"",""
"Warm-air furnace","17.9"
"Steam or hot water system","S"
"Electric heat pump","S"
"Built-in electric units","11.6"
"Floor, wall, or other built-in hot-air units without ducts","S"
"Room heaters with flue","S"
"Room heaters without flue","S"
"Portable electric heaters","87.7"
"Stoves","9.9"
"Outdoor wood fired boiler","."
"Gas oven with the door open","."
"Cooking stove","48.9"
"Other","S"
"Not reported","."
"No supplemental heating","1,534.6"
"",""
"Primary Air Conditioning",""
"",""
"With primary air conditioning","1,589.7"
"  Central air conditioning","1,279.8"
"    Powered by:",""
"      Electric","1,193.1"
"      Piped gas","83.4"
"      Liquid propane gas","S"
"      Other","S"
"  Room air conditioning","309.8"
"    Unit has 1 room air conditioner","193.0"
"    Unit has 2 room air conditioners","85.8"
"    Unit has 3 room air conditioners","21.3"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","S"
"    Unit has 6 room air conditioners","S"
"    Unit has 7 or more room air conditioners","."
"Unit does not have air conditioning","133.6"
"",""
"Secondary Air Conditioning",""
"",""
"With secondary air conditioning","124.3"
"  Central air conditioning","62.4"
"    Powered by:",""
"      Electric","58.4"
"      Piped gas","S"
"      Liquid propane gas","."
"      Other","S"
"  Room air conditioning","61.9"
"    Unit has 1 room air conditioner","51.4"
"    Unit has 2 room air conditioners","10.4"
"    Unit has 3 room air conditioners","."
"    Unit has 4 room air conditioners","."
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have secondary air conditioning","1,599.0"
"",""
"Water Heating Fuel",""
"",""
"      With hot piped water","1,720.5"
"Electricity","264.4"
"Piped gas","1,428.0"
"Bottled gas","24.1"
"Fuel oil","S"
"Solar energy","S"
"Other","S"
"",""
"Kitchen Equipment",""
"",""
"With complete kitchen (sink, refrigerator, and oven or burners)","1,702.4"
"Lacking complete kitchen facilities","20.9"
"Kitchen sink","1,719.8"
"Refrigerator","1,713.1"
"Cooking stove or range","1,705.0"
"Burners, no stove or range","S"
"Microwave oven only","S"
"Dishwasher","1,206.1"
"",""
"Laundry Equipment",""
"",""
"Washing machine","1,496.0"
"Clothes dryer","1,480.0"
"",""
"Cooking Fuel",""
"",""
"      With cooking fuel","1,716.7"
"Electricity","815.7"
"Piped gas","878.7"
"Bottled gas","21.3"
"Other","S"
"",""
"Clothes Dryer Fuel",""
"",""
"      With clothes dryer","1,480.0"
"Electricity","555.5"
"Piped gas","912.2"
"Bottled gas","12.4"
"Other","."
"",""
"Carbon Monoxide Detector",""
"",""
"Yes","1,161.0"
"No","514.2"
"Not reported","48.2"
"",""
"Solar Panels",""
"",""
"Yes","12.8"
"No","1,705.3"
"Not reported","S"
"",""
