,House Size,AC Type,<15k,15k-34999,35k-74999,75k-99999,>100k,counts
0,0-1499,Central,0.1435716210564595,0.26487582697101364,0.38359908112737207,0.09687594159711206,0.11107752924804275,1.0
1,0-1499,Room,0.2323970231117373,0.3327399204986454,0.3349023065106178,0.01432845460488297,0.08563229527411649,1.0
2,0-1499,None,0.4394133999505706,0.0803675012002073,0.14284645916561853,0.07258543613889869,0.26478720354470486,1.0
3,1500-2499,Central,0.06446692072589927,0.15604875572859206,0.28643176104841583,0.14811481138097513,0.3449377511161177,1.0
4,1500-2499,Room,0.20738716568896523,0.15082233249861482,0.24733336034007372,0.17724078279166733,0.2172163586806789,1.0
5,1500-2499,None,0.07464518003046093,0.2181252799863134,0.14382748142452634,0.2878823822680094,0.27551967629069,1.0
6,2500-3499,Central,0.03404337702598711,0.059990656246975915,0.16864903628482872,0.12858325015623356,0.6087336802859746,1.0
7,2500-3499,Room,0.11849627261929452,0.22088214189682207,0.28674024338479875,0.2090641580791279,0.1648171840199568,1.0
8,2500-3499,None,0.17168243976730008,0.18550878342097596,0.23176562004910387,0.2184006227883772,0.19264253397424283,0.9999999999999999
9,3500+,Central,0.03960231170984038,0.061601677518376176,0.14693893284460613,0.07365661014893791,0.6782004677782394,1.0
10,3500+,Room,0.1786708883692498,0.1830928656368987,0.21771329014080038,0.19703833145100771,0.22348462440204353,1.0
11,3500+,None,0.1829590568228159,0.16608615992346926,0.3326069206766074,0.02622760456971749,0.29212025800739,1.0
