"Characteristics","Estimate"
"      Total","2,329.0"
"",""
"Rooms",""
"",""
"1","S"
"2","S"
"3","216.9"
"4","342.4"
"5","466.5"
"6","481.4"
"7","345.9"
"8","237.0"
"9","135.2"
"10 or more","92.3"
"",""
"Persons per Room",""
"",""
"0.50 or less","1,551.1"
"0.51 to 1.00","702.8"
"1.01 to 1.50","68.1"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","S"
"1","314.8"
"2","478.8"
"3","848.5"
"4 or more","683.4"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","548.9"
"0.51 to 1.00","1,071.0"
"1.01 to 1.50","335.8"
"1.51 or more","369.8"
"No bedrooms","S"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","2,329.0"
"  1","582.5"
"  1 1/2","147.9"
"  2","851.1"
"  2 1/2","415.3"
"  3","263.4"
"  More than 3","68.7"
"No complete bathroom","."
"  Sink and toilet present","."
"  Tub and toilet present","."
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","."
"",""
"Square Footage of Unit",""
"",""
"Less than 500","29.0"
"500 to 749","181.7"
"750 to 999","276.7"
"1,000 to 1,499","387.0"
"1,500 to 1,999","387.6"
"2,000 to 2,499","334.0"
"2,500 to 2,999","240.1"
"3,000 to 3,999","206.9"
"4,000 or more","94.5"
"Not reported","191.4"
"Median (square feet)","1,700.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","75.7"
"200 to 299","167.7"
"300 to 399","204.3"
"400 to 499","200.6"
"500 to 599","179.3"
"600 to 699","212.0"
"700 to 799","164.4"
"800 to 899","152.2"
"900 to 999","119.8"
"1,000 to 1,499","341.4"
"1,500 or more","320.2"
"Not reported","191.4"
"Median (square feet)","700.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","1,690.5"
"Less than 1/8 acre","235.1"
"1/8 up to 1/4 acre","978.8"
"1/4 up to 1/2 acre","258.0"
"1/2 up to 1 acre","77.5"
"1 up to 5 acres","111.8"
"5 up to 10 acres","21.8"
"10 acres or more","S"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","2,054.1"
"Usable fireplace","1,002.3"
"Separate dining room","1,414.0"
"With 2 or more living rooms or recreation rooms, etc.","681.6"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","1,656.3"
"",""
"Phone Service",""
"",""
"Cell phone available","1,922.9"
"",""
