"Characteristics","Estimate"
"      Total","849.9"
"",""
"Rooms",""
"",""
"1","S"
"2","6.8"
"3","53.6"
"4","113.2"
"5","166.3"
"6","191.7"
"7","147.2"
"8","89.1"
"9","46.2"
"10 or more","34.6"
"",""
"Persons per Room",""
"",""
"0.50 or less","662.7"
"0.51 to 1.00","178.5"
"1.01 to 1.50","S"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","S"
"1","82.5"
"2","184.4"
"3","349.1"
"4 or more","230.1"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","252.1"
"0.51 to 1.00","424.3"
"1.01 to 1.50","94.1"
"1.51 or more","75.5"
"No bedrooms","S"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","848.9"
"  1","242.5"
"  1 1/2","101.7"
"  2","185.4"
"  2 1/2","142.7"
"  3","140.1"
"  More than 3","36.5"
"No complete bathroom","S"
"  Sink and toilet present","S"
"  Tub and toilet present","S"
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","."
"",""
"Square Footage of Unit",""
"",""
"Less than 500","13.5"
"500 to 749","47.1"
"750 to 999","93.8"
"1,000 to 1,499","194.8"
"1,500 to 1,999","153.7"
"2,000 to 2,499","102.5"
"2,500 to 2,999","57.5"
"3,000 to 3,999","68.8"
"4,000 or more","32.2"
"Not reported","86.0"
"Median (square feet)","1,500.0"
"Mean (square feet)","1,898.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","18.0"
"200 to 299","39.9"
"300 to 399","62.1"
"400 to 499","76.2"
"500 to 599","78.2"
"600 to 699","73.6"
"700 to 799","62.2"
"800 to 899","42.9"
"900 to 999","54.1"
"1,000 to 1,499","147.7"
"1,500 or more","109.1"
"Not reported","86.0"
"Median (square feet)","750.0"
"Mean (square feet)","989.9"
"",""
"Lot Size",""
"",""
"      1-unit structures","655.6"
"Less than 1/8 acre","114.4"
"1/8 up to 1/4 acre","162.0"
"1/4 up to 1/2 acre","184.3"
"1/2 up to 1 acre","64.3"
"1 up to 5 acres","75.4"
"5 up to 10 acres","18.3"
"10 acres or more","37.0"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","790.5"
"Usable fireplace","426.0"
"Separate dining room","482.4"
"With 2 or more living rooms or recreation rooms, etc.","327.7"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","640.0"
"",""
"Phone Service",""
"",""
"Landline available","211.0"
"Cell phone available","792.0"
"",""
