,House Size,AC Type,<15k,15k-34999,35k-74999,75k-99999,>100k,counts
0,0-1499,Central,0.12863561664532971,0.2102496143144861,0.34487679914577857,0.04634307338982394,0.2698948965045818,1.0000000000000002
1,0-1499,Room,0.16638618616522455,0.11094804297120475,0.14035920898380075,0.2782536843455896,0.3040528775341803,1.0
2,0-1499,None,0.13715054031115828,0.00034052622790473947,0.22922401620168037,0.34787811088562065,0.2854068063736359,1.0
3,1500-2499,Central,0.02439486978746032,0.21391801059559595,0.27751103971174873,0.15531406234516404,0.328862017560031,1.0
4,1500-2499,Room,0.06838484307189888,0.06527300802442383,0.3574076184062267,0.2796255348444408,0.22930899565300963,0.9999999999999999
5,1500-2499,None,0.09257330756994905,0.17869920187060084,0.29871815603162916,0.31100030856754823,0.11900902596027271,1.0
6,2500-3499,Central,0.15317125127082087,0.06873703799531265,0.34857251351285107,0.25388834438030855,0.1756308528407068,0.9999999999999999
7,2500-3499,Room,0.15842868889701206,0.19239903520288945,0.24461859695099442,0.15506107604301186,0.2494926029060922,1.0
8,2500-3499,None,0.00836906049691243,0.240688577705602,0.0031779891375553694,0.30453294319459745,0.44323142946533267,0.9999999999999999
9,3500+,Central,0.09174322392510927,0.0933001159509695,0.33502913517262223,0.2717046755732974,0.2082228493780017,1.0
10,3500+,Room,0.24336452261014485,0.15296417621413277,0.5627946785687582,0.0011094668729488598,0.03976715573401549,1.0000000000000002
11,3500+,None,0.2304194857834953,0.1395789395930453,0.33877851561014816,0.2468051102128628,0.044417948800448484,1.0
