"Characteristics","Estimate"
"      Total","798.6"
"",""
"Rooms",""
"",""
"1","S"
"2","6.5"
"3","50.5"
"4","135.0"
"5","192.2"
"6","186.7"
"7","121.5"
"8","63.6"
"9","21.8"
"10 or more","18.3"
"",""
"Persons per Room",""
"",""
"0.50 or less","598.0"
"0.51 to 1.00","185.7"
"1.01 to 1.50","12.9"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","5.4"
"1","77.1"
"2","213.3"
"3","307.3"
"4 or more","195.4"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","248.1"
"0.51 to 1.00","377.8"
"1.01 to 1.50","88.8"
"1.51 or more","78.6"
"No bedrooms","5.4"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","798.6"
"  1","120.4"
"  1 1/2","35.2"
"  2","356.4"
"  2 1/2","166.9"
"  3","98.9"
"  More than 3","20.8"
"No complete bathroom","."
"  Sink and toilet present","."
"  Tub and toilet present","."
"  Toilet only present","."
"  No sink, bathtub, shower, or toilet present","."
"",""
"Square Footage of Unit",""
"",""
"Less than 500","10.8"
"500 to 749","30.6"
"750 to 999","72.0"
"1,000 to 1,499","176.9"
"1,500 to 1,999","164.0"
"2,000 to 2,499","95.6"
"2,500 to 2,999","46.5"
"3,000 to 3,999","43.8"
"4,000 or more","19.7"
"Not reported","138.6"
"Median (square feet)","1,600.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","5.8"
"200 to 299","38.2"
"300 to 399","60.1"
"400 to 499","57.4"
"500 to 599","57.1"
"600 to 699","62.4"
"700 to 799","51.4"
"800 to 899","46.6"
"900 to 999","46.5"
"1,000 to 1,499","127.1"
"1,500 or more","107.3"
"Not reported","138.6"
"Median (square feet)","788.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","527.8"
"Less than 1/8 acre","197.1"
"1/8 up to 1/4 acre","277.1"
"1/4 up to 1/2 acre","35.3"
"1/2 up to 1 acre","12.7"
"1 up to 5 acres","5.7"
"5 up to 10 acres","."
"10 acres or more","."
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","665.2"
"Usable fireplace","306.9"
"Separate dining room","409.4"
"With 2 or more living rooms or recreation rooms, etc.","207.8"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","648.3"
"",""
"Phone Service",""
"",""
"Cell phone available","671.6"
"",""
