Characteristics,Estimate
      Total,"4,395.70"
,
Rooms,
,
1,59.2
2,126.1
3,601.7
4,940.1
5,900.8
6,798.2
7,516
8,264.6
9,118.1
10 or more,70.9
,
Persons per Room,
,
0.50 or less,"2,550.60"
0.51 to 1.00,"1,515.10"
1.01 to 1.50,262.7
1.51 or more,67.2
,
Bedrooms,
,
None,120.8
1,852.9
2,"1,339.90"
3,"1,250.80"
4 or more,831.3
,
Persons per Bedroom,
,
0.50 or less,761.4
0.51 to 1.00,"1,855.90"
1.01 to 1.50,616.7
1.51 or more,"1,040.90"
No bedrooms,120.8
,
Bathrooms,
,
At least 1 complete bathroom,"4,389.80"
1,"1,746.40"
1 1/2,423.6
2,"1,253.70"
2 1/2,474.1
3,372.9
  More than 3,119
No complete bathroom,S
  Sink and toilet present,.
  Tub and toilet present,.
  Toilet only present,.
"  No sink, bathtub, shower, or toilet present",S
,
Square Footage of Unit,
,
Less than 500,148.80
500 to 749,484.60
750 to 999,584.10
"1,000 to 1,499",1085.10
"1,500 to 1,999",689.90
"2,000 to 2,499",355.80
"2,500 to 2,999",191.50
"3,000 to 3,999",140.70
"4,000 or more",92.00
Not reported,623.10
Median (square feet),1250.00
,
Square Feet per Person,
,
Less than 200,251.5
200 to 299,388.3
300 to 399,527
400 to 499,452.3
500 to 599,421.7
600 to 699,337.8
700 to 799,272.9
800 to 899,195.1
900 to 999,187
"1,000 to 1,499",446.8
"1,500 or more",292.1
Not reported,623.1
Median (square feet),550
,
Lot Size,
,
      1-unit structures,"2,489.00"
Less than 1/8 acre,600.9
1/8 up to 1/4 acre,"1,564.00"
1/4 up to 1/2 acre,218.5
1/2 up to 1 acre,48.4
1 up to 5 acres,39.1
5 up to 10 acres,S
10 acres or more,S
,
Selected Amenities,
,
"Porch, deck, balcony, or patio","3,415.20"
Usable fireplace,"1,817.50"
Separate dining room,"2,082.00"
"With 2 or more living rooms or recreation rooms, etc.",873.5
,
Vehicle Parking,
,
Garage or carport,"3,710.70"
,
Phone Service,
,
Cell phone available,"3,524.40"
