Characteristics,Estimate
      Total,513.70
,
Rooms,
,
1,S
2,S
3,29.50
4,71.00
5,123.20
6,121.30
7,83.30
8,46.70
9,21.60
10 or more,14.50
,
Persons per Room,
,
0.50 or less,406.70
0.51 to 1.00,98.80
1.01 to 1.50,7.60
1.51 or more,S
,
Bedrooms,
,
None,S
1,49.50
2,104.80
3,237.90
4 or more,120.80
,
Persons per Bedroom,
,
0.50 or less,181.70
0.51 to 1.00,243.20
1.01 to 1.50,53.70
1.51 or more,34.40
No bedrooms,S
,
Bathrooms,
,
At least 1 complete bathroom,513.70
1,148.70
1 1/2,63.10
2,182.10
2 1/2,55.50
3,54.90
  More than 3,9.50
No complete bathroom,.
  Sink and toilet present,.
  Tub and toilet present,.
  Toilet only present,.
"  No sink, bathtub, shower, or toilet present",.
,
Square Footage of Unit,
,
Less than 500,9.50
500 to 749,27.10
750 to 999,52.20
"1,000 to 1,499",110.70
"1,500 to 1,999",79.20
"2,000 to 2,499",61.70
"2,500 to 2,999",32.60
"3,000 to 3,999",37.80
"4,000 or more",22.70
Not reported,80.30
Median (square feet),1550.00
Mean (square feet),1935.00
,
Square Feet per Person,
,
Less than 200,8.20
200 to 299,21.10
300 to 399,34.90
400 to 499,36.20
500 to 599,33.90
600 to 699,41.80
700 to 799,35.40
800 to 899,30.00
900 to 999,27.30
"1,000 to 1,499",92.80
"1,500 or more",71.70
Not reported,80.30
Median (square feet),800.00
Mean (square feet),1075.00
,
Lot Size,
,
      1-unit structures,397.00
Less than 1/8 acre,90.60
1/8 up to 1/4 acre,73.40
1/4 up to 1/2 acre,94.00
1/2 up to 1 acre,55.80
1 up to 5 acres,65.70
5 up to 10 acres,7.30
10 acres or more,10.20
,
Selected Amenities,
,
"Porch, deck, balcony, or patio",466.30
Usable fireplace,238.40
Separate dining room,312.90
"With 2 or more living rooms or recreation rooms, etc.",141.20
,
Vehicle Parking,
,
Garage or carport,317.60
,
Phone Service,
,
Landline available,105.90
Cell phone available,469.30
