Characteristics,Estimate
      Total,1379.60
,
Rooms,
,
1,S
2,15.80
3,113.90
4,195.70
5,189.40
6,224.00
7,251.90
8,174.60
9,104.10
10 or more,104.10
,
Persons per Room,
,
0.50 or less,1069.10
0.51 to 1.00,293.00
1.01 to 1.50,15.40
1.51 or more,S
,
Bedrooms,
,
None,19.30
1,166.00
2,320.10
3,432.10
4 or more,442.10
,
Persons per Bedroom,
,
0.50 or less,386.00
0.51 to 1.00,676.80
1.01 to 1.50,167.00
1.51 or more,130.60
No bedrooms,19.30
,
Bathrooms,
,
At least 1 complete bathroom,1377.10
1,404.60
1 1/2,207.10
2,396.50
2 1/2,162.30
3,183.40
  More than 3,23.20
No complete bathroom,S
  Sink and toilet present,.
  Tub and toilet present,.
  Toilet only present,.
"  No sink, bathtub, shower, or toilet present",S
,
Square Footage of Unit,
,
Less than 500,29.50
500 to 749,81.90
750 to 999,124.30
"1,000 to 1,499",224.40
"1,500 to 1,999",228.30
"2,000 to 2,499",200.80
"2,500 to 2,999",119.70
"3,000 to 3,999",113.00
"4,000 or more",60.40
Not reported,197.30
Median (square feet),1750.00
,
Square Feet per Person,
,
Less than 200,23.40
200 to 299,50.60
300 to 399,89.70
400 to 499,116.80
500 to 599,104.60
600 to 699,116.40
700 to 799,95.90
800 to 899,77.30
900 to 999,86.40
"1,000 to 1,499",251.10
"1,500 or more",170.10
Not reported,197.30
Median (square feet),775.00
,
Lot Size,
,
      1-unit structures,1002.70
Less than 1/8 acre,166.70
1/8 up to 1/4 acre,254.00
1/4 up to 1/2 acre,343.10
1/2 up to 1 acre,74.20
1 up to 5 acres,110.70
5 up to 10 acres,23.00
10 acres or more,31.00
,
Selected Amenities,
,
"Porch, deck, balcony, or patio",1085.80
Usable fireplace,575.50
Separate dining room,615.00
"With 2 or more living rooms or recreation rooms, etc.",768.70
,
Vehicle Parking,
,
Garage or carport,1156.40
,
Phone Service,
,
Cell phone available,1180.20
