"Characteristics","Estimate"
"      Total","622.1"
"",""
"Rooms",""
"",""
"1","1.1"
"2","2.3"
"3","43.2"
"4","92.5"
"5","151.7"
"6","128.0"
"7","90.4"
"8","55.1"
"9","32.9"
"10 or more","25.0"
"",""
"Persons per Room",""
"",""
"0.50 or less","472.4"
"0.51 to 1.00","140.4"
"1.01 to 1.50","7.9"
"1.51 or more","1.4"
"",""
"Bedrooms",""
"",""
"None","1.3"
"1","57.4"
"2","142.2"
"3","289.8"
"4 or more","131.4"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","173.1"
"0.51 to 1.00","322.6"
"1.01 to 1.50","75.6"
"1.51 or more","49.4"
"No bedrooms","1.3"
"",""
"Complete Bathrooms",""
"",""
"None","1.4"
"1","170.8"
"1 1/2","58.2"
"2 or more","391.7"
"",""
"Square Footage of Unit",""
"",""
"Less than 500","7.6"
"500 to 749","35.6"
"750 to 999","56.8"
"1,000 to 1,499","163.8"
"1,500 to 1,999","105.2"
"2,000 to 2,499","75.3"
"2,500 to 2,999","45.4"
"3,000 to 3,999","49.1"
"4,000 or more","24.6"
"Not reported","58.7"
"Median (square feet)","1,500.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","7.7"
"200 to 299","26.9"
"300 to 399","49.8"
"400 to 499","51.7"
"500 to 599","51.9"
"600 to 699","60.4"
"700 to 799","46.0"
"800 to 899","41.9"
"900 to 999","29.8"
"1,000 to 1,499","119.0"
"1,500 or more","78.0"
"Not reported","58.7"
"Median (square feet)","750.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","476.0"
"Less than 1/8 acre","27.5"
"1/8 up to 1/4 acre","47.2"
"1/4 up to 1/2 acre","111.7"
"1/2 up to 1 acre","89.4"
"1 up to 5 acres","141.2"
"5 up to 10 acres","28.0"
"10 acres or more","31.0"
"",""
"Rooms Used for Business",""
"",""
"Business only:",""
"  1 or more rooms with direct access","29.6"
"  1 or more rooms, no direct access","39.7"
"  Not reported","3.8"
"",""
"Business and other use:",""
"  1 or more rooms","103.1"
"  Not reported","3.8"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","566.2"
"Telephone available","535.0"
"Usable fireplace","275.2"
"Separate dining room","311.6"
"With 2 or more living rooms or recreation rooms, etc.","209.6"
"",""
"Vehicle Parking",""
"",""
"Garage or carport included with home","360.1"
"Garage or carport not included with home","261.9"
"  Driveway or off-street parking available","246.7"
"  Driveway or off-street parking not available","15.3"
"  Driveway or off-street parking not reported","."
"Garage or carport not reported","."
"",""
"Vehicles Available",""
"",""
"Vehicle(s) (cars, trucks, or vans)","591.4"
"  1 vehicle","192.4"
"  2 vehicles","243.5"
"  3 or more vehicles","155.5"
"No vehicles","30.7"
"",""
"Car(s)","510.5"
"  1 car","290.3"
"  2 cars","169.1"
"  3 or more cars","51.1"
"No cars","111.6"
"",""
"Truck(s) or van(s)","312.4"
"  1 truck or van","222.0"
"  2 or more truck(s) or van(s)","90.4"
"No truck(s) or van(s)","309.7"
"",""
