Characteristics,Estimate
      Total,622.1
,
Units Using Each Fuel,
,
Electricity,622.1
Piped gas,246.7
Bottled gas,26.6
Fuel oil,1
Kerosene or other liquid fuel,1.4
Coal or coke,.
Wood,6.1
Solar energy,0.2
Other,3.2
,
All electric units,362.1
,
Main Heating Equipment,
,
Warm-air furnace,408.1
Steam or hot water system,1.2
Electric heat pump,157.3
Built-in electric units,17
"Floor, wall, or other built-in hot-air units without ducts",16.8
Room heaters with flue,2
Room heaters without flue,3.5
Portable electric heaters,7.7
Stoves,4.3
Fireplaces with inserts,1.2
Fireplaces without inserts,0.2
Cooking stove,.
Other,2.7
None,.
,
Main House Heating Fuel,
,
      Housing units with heating fuel,622.1
Electricity,401.4
Piped gas,195.6
Bottled gas,16.9
Fuel oil,.
Kerosene or other liquid fuel,1.4
Coal or coke,.
Wood,6.1
Solar energy,.
Other,0.6
,
Other Heating Equipment,
,
Warm-air furnace,1
Steam or hot water system,0.4
Electric heat pump,1.7
Built-in electric units,14.7
"Floor, wall, or other built-in hot-air units without ducts",0.4
Room heaters with flue,2.5
Room heaters without flue,8.4
Portable electric heaters,87
Stoves,13.8
Fireplaces with inserts,24.7
Fireplaces without inserts,48.3
Cooking stove,0.2
Other,3.8
None,436.1
,
Air conditioning,
,
Central,565.3
  Additional central,88.5
Room (air conditioning) units:,50
  1 unit,22.8
  2 units,17.5
  3 units or more,10.4
None,0
Central Air Conditioning Fuel,
,
      With central air conditioning,565.3
Electricity,552.4
Piped gas,11.5
Other,1.4
,
Other Central Air Fuel,
,
      With other central air,88.5
Electricity,86.5
Gas,1.4
Other,0.6
,
Water Heating Fuel,
,
      With hot piped water,621.7
Electricity,455
Piped gas,156.9
Bottled gas,8.2
Fuel oil,0.2
Solar energy,0.2
Other,1.1
,
Kitchen and Laundry Equipment,
,
"With complete kitchen (sink, refrigerator, and oven or burners)",613.6
Lacking complete kitchen facilities,8.5
Kitchen sink,620.6
Disposal in kitchen sink,350.8
Refrigerator,620.9
Cooking stove or range,615.9
"Burners, no stove or range",1.8
Microwave oven only,2.5
Dishwasher,489.2
Trash compactor,25.5
Washing machine,556.3
Clothes dryer,549.8
,
Cooking Fuel,
,
      With cooking fuel,620.2
Electricity,553.5
Piped gas,59
Bottled gas,6.7
Other,1
,
Clothes Dryer Fuel,
,
      With clothes dryer,549.8
Electricity,531.2
Piped gas,17.1
Other,1.4
