Characteristics,Estimate
      Total,7428.00
,
Rooms,
,
1,63.50
2,201.70
3,1190.70
4,1609.80
5,1420.50
6,1179.90
7,788.40
8,553.90
9,213.20
10 or more,206.30
,
Persons per Room,
,
0.50 or less,4762.30
0.51 to 1.00,2379.80
1.01 to 1.50,234.50
1.51 or more,51.40
,
Bedrooms,
,
None,171.80
1,1589.90
2,2189.50
3,2139.60
4 or more,1337.20
,
Persons per Bedroom,
,
0.50 or less,1505.30
0.51 to 1.00,3338.70
1.01 to 1.50,1003.60
1.51 or more,1408.70
No bedrooms,171.80
,
Bathrooms,
,
At least 1 complete bathroom,7407.00
1,3938.30
1 1/2,858.70
2,1197.80
2 1/2,836.10
3,481.70
  More than 3,94.50
No complete bathroom,S
  Sink and toilet present,.
  Tub and toilet present,S
  Toilet only present,.
"  No sink, bathtub, shower, or toilet present",S
,
Square Footage of Unit,
,
Less than 500,432.40
500 to 749,768.00
750 to 999,1045.10
"1,000 to 1,499",1285.40
"1,500 to 1,999",831.30
"2,000 to 2,499",648.60
"2,500 to 2,999",398.20
"3,000 to 3,999",254.30
"4,000 or more",215.70
Not reported,1548.90
Median (square feet),1150.00
,
Square Feet per Person,
,
Less than 200,463.70
200 to 299,599.80
300 to 399,687.70
400 to 499,662.30
500 to 599,545.00
600 to 699,447.60
700 to 799,375.50
800 to 899,370.60
900 to 999,285.40
"1,000 to 1,499",848.90
"1,500 or more",592.60
Not reported,1548.90
Median (square feet),580.00
,
Lot Size,
,
      1-unit structures,3369.80
Less than 1/8 acre,1166.70
1/8 up to 1/4 acre,1022.10
1/4 up to 1/2 acre,565.70
1/2 up to 1 acre,304.90
1 up to 5 acres,269.00
5 up to 10 acres,S
10 acres or more,S
,
Selected Amenities,
,
"Porch, deck, balcony, or patio",4012.40
Usable fireplace,1503.30
Separate dining room,3359.20
"With 2 or more living rooms or recreation rooms, etc.",1667.10
,
Vehicle Parking,
,
Garage or carport,3370.90
,
Phone Service,
,
Cell phone available,6441.10
