Characteristics,Estimate
      Total,515.90
,
Rooms,
,
1,.
2,S
3,35.40
4,66.20
5,130.40
6,144.00
7,69.80
8,38.80
9,16.70
10 or more,13.10
,
Persons per Room,
,
0.50 or less,381.70
0.51 to 1.00,126.60
1.01 to 1.50,6.90
1.51 or more,S
,
Bedrooms,
,
None,S
1,51.90
2,102.50
3,262.00
4 or more,98.80
,
Persons per Bedroom,
,
0.50 or less,140.40
0.51 to 1.00,261.10
1.01 to 1.50,65.30
1.51 or more,48.40
No bedrooms,S
,
Bathrooms,
,
At least 1 complete bathroom,515.90
1,147.30
1 1/2,69.10
2,192.40
2 1/2,56.70
3,39.80
  More than 3,10.50
No complete bathroom,.
  Sink and toilet present,.
  Tub and toilet present,.
  Toilet only present,.
"  No sink, bathtub, shower, or toilet present",.
,
Square Footage of Unit,
,
Less than 500,5.20
500 to 749,27.40
750 to 999,54.60
"1,000 to 1,499",115.30
"1,500 to 1,999",108.30
"2,000 to 2,499",61.20
"2,500 to 2,999",34.30
"3,000 to 3,999",24.10
"4,000 or more",11.30
Not reported,74.20
Median (square feet),1502.00
,
Square Feet per Person,
,
Less than 200,5.70
200 to 299,26.70
300 to 399,39.20
400 to 499,52.10
500 to 599,43.30
600 to 699,37.50
700 to 799,35.00
800 to 899,30.40
900 to 999,34.00
"1,000 to 1,499",80.00
"1,500 or more",57.80
Not reported,74.20
Median (square feet),733.00
,
Lot Size,
,
      1-unit structures,419.60
Less than 1/8 acre,17.10
1/8 up to 1/4 acre,241.80
1/4 up to 1/2 acre,57.10
1/2 up to 1 acre,19.60
1 up to 5 acres,50.00
5 up to 10 acres,18.40
10 acres or more,15.60
,
Selected Amenities,
,
"Porch, deck, balcony, or patio",459.70
Usable fireplace,246.90
Separate dining room,278.00
"With 2 or more living rooms or recreation rooms, etc.",148.40
,
Vehicle Parking,
,
Garage or carport,371.20
,
Phone Service,
,
Cell phone available,453.20
