"Label (Grouping)","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Owner-occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent owner-occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Renter-occupied housing units!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Percent renter-occupied housing units!!Margin of Error"
"Occupied housing units","990,500","±8,898","990,500","±8,898","626,752","±10,601","626,752","±10,601","363,748","±11,587","363,748","±11,587"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"        Less than $5,000","36,981","±4,362","3.7%","±0.4","15,665","±2,755","2.5%","±0.4","21,316","±3,147","5.9%","±0.8"
"        $5,000 to $9,999","20,034","±3,187","2.0%","±0.3","8,527","±1,821","1.4%","±0.3","11,507","±2,881","3.2%","±0.8"
"        $10,000 to $14,999","32,323","±3,758","3.3%","±0.4","14,481","±2,069","2.3%","±0.3","17,842","±2,906","4.9%","±0.8"
"        $15,000 to $19,999","35,103","±4,194","3.5%","±0.4","15,515","±2,267","2.5%","±0.4","19,588","±3,613","5.4%","±1.0"
"        $20,000 to $24,999","42,485","±4,953","4.3%","±0.5","21,000","±3,316","3.4%","±0.5","21,485","±3,717","5.9%","±1.0"
"        $25,000 to $34,999","88,500","±6,229","8.9%","±0.6","44,941","±4,075","7.2%","±0.6","43,559","±4,540","12.0%","±1.2"
"        $35,000 to $49,999","117,027","±7,085","11.8%","±0.7","61,896","±5,617","9.9%","±0.8","55,131","±4,858","15.2%","±1.4"
"        $50,000 to $74,999","187,190","±9,524","18.9%","±1.0","112,345","±6,423","17.9%","±1.0","74,845","±7,555","20.6%","±2.0"
"        $75,000 to $99,999","137,415","±7,730","13.9%","±0.8","89,429","±5,619","14.3%","±0.9","47,986","±5,556","13.2%","±1.4"
"        $100,000 to $149,999","146,101","±8,189","14.8%","±0.8","114,242","±6,812","18.2%","±1.1","31,859","±4,854","8.8%","±1.3"
"        $150,000 or more","147,341","±7,224","14.9%","±0.7","128,711","±7,004","20.5%","±1.0","18,630","±3,555","5.1%","±0.9"
"        Median household income (dollars)","64,936","±1,329","64,936","±1,329","79,325","±1,691","79,325","±1,691","47,289","±2,211","47,289","±2,211"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","",""
"        Less than $300","35,830","±3,312","3.6%","±0.3","32,849","±3,061","5.2%","±0.5","2,981","±1,125","0.8%","±0.3"
"        $300 to $499","70,912","±4,742","7.2%","±0.5","64,395","±4,130","10.3%","±0.7","6,517","±1,863","1.8%","±0.5"
"        $500 to $799","114,719","±5,683","11.6%","±0.6","97,336","±4,808","15.5%","±0.8","17,383","±2,986","4.8%","±0.8"
"        $800 to $999","76,877","±5,025","7.8%","±0.5","49,847","±4,015","8.0%","±0.6","27,030","±3,545","7.4%","±1.0"
