"Characteristics","Estimate"
"      Total","813.2"
"",""
"Rooms",""
"",""
"1","1.2"
"2","3.2"
"3","51.3"
"4","131.5"
"5","179.7"
"6","175.4"
"7","125.2"
"8","88.5"
"9","33.8"
"10 or more","23.2"
"",""
"Persons per Room",""
"",""
"0.50 or less","631.2"
"0.51 to 1.00","172.0"
"1.01 to 1.50","8.7"
"1.51 or more","1.3"
"",""
"Bedrooms",""
"",""
"None","2.5"
"1","73.3"
"2","195.1"
"3","330.8"
"4 or more","211.6"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","264.4"
"0.51 to 1.00","394.2"
"1.01 to 1.50","83.5"
"1.51 or more","68.6"
"No bedrooms","2.5"
"",""
"Complete Bathrooms",""
"",""
"None","1.5"
"1","144.2"
"1 1/2","35.1"
"2 or more","632.3"
"",""
"Square Footage of Unit",""
"",""
"Less than 500","4.6"
"500 to 749","42.7"
"750 to 999","86.7"
"1,000 to 1,499","205.6"
"1,500 to 1,999","167.6"
"2,000 to 2,499","110.8"
"2,500 to 2,999","53.0"
"3,000 to 3,999","39.7"
"4,000 or more","16.3"
"Not reported","86.1"
"Median (square feet)","1,518.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","6.1"
"200 to 299","38.4"
"300 to 399","56.8"
"400 to 499","70.6"
"500 to 599","66.3"
"600 to 699","66.9"
"700 to 799","63.6"
"800 to 899","54.9"
"900 to 999","47.6"
"1,000 to 1,499","151.5"
"1,500 or more","104.3"
"Not reported","86.1"
"Median (square feet)","782.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","611.4"
"Less than 1/8 acre","163.5"
"1/8 up to 1/4 acre","206.4"
"1/4 up to 1/2 acre","139.1"
"1/2 up to 1 acre","37.6"
"1 up to 5 acres","47.2"
"5 up to 10 acres","10.8"
"10 acres or more","6.8"
"",""
"Rooms Used for Business",""
"",""
"Business only:",""
"  1 or more rooms with direct access","25.5"
"  1 or more rooms, no direct access","47.0"
"  Not reported","14.9"
"",""
"Business and other use:",""
"  1 or more rooms","79.9"
"  Not reported","15.1"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","683.5"
"Telephone available","597.8"
"Usable fireplace","140.3"
"Separate dining room","463.1"
"With 2 or more living rooms or recreation rooms, etc.","246.9"
"",""
"Vehicle Parking",""
"",""
"Garage or carport included with home","547.6"
"Garage or carport not included with home","265.6"
"  Driveway or off-street parking available","255.1"
"  Driveway or off-street parking not available","10.2"
"  Driveway or off-street parking not reported","0.3"
"Garage or carport not reported","."
"",""
"Vehicles Available",""
"",""
"Vehicle(s) (cars, trucks, or vans)","771.7"
"  1 vehicle","331.1"
"  2 vehicles","321.5"
"  3 or more vehicles","119.2"
"No vehicles","41.5"
"",""
"Car(s)","696.6"
"  1 car","410.9"
"  2 cars","234.8"
"  3 or more cars","50.9"
"No cars","116.6"
"",""
"Truck(s) or van(s)","264.8"
"  1 truck or van","207.0"
"  2 or more truck(s) or van(s)","57.8"
"No truck(s) or van(s)","548.3"
"",""
