Characteristics,Estimate
      Total,813.2
,
Units Using Each Fuel,
,
Electricity,813.2
Piped gas,67.3
Bottled gas,21
Fuel oil,2.3
Kerosene or other liquid fuel,0.8
Coal or coke,.
Wood,2
Solar energy,2.1
Other,1
,
All electric units,724.8
,
Main Heating Equipment,
,
Warm-air furnace,368.1
Steam or hot water system,1.5
Electric heat pump,412.7
Built-in electric units,0.8
"Floor, wall, or other built-in hot-air units without ducts",9.1
Room heaters with flue,0.3
Room heaters without flue,0.5
Portable electric heaters,14
Stoves,0.8
Fireplaces with inserts,.
Fireplaces without inserts,.
Cooking stove,.
Other,4
None,1.5
,
Main House Heating Fuel,
,
      Housing units with heating fuel,811.6
Electricity,778.8
Piped gas,26.6
Bottled gas,2.1
Fuel oil,1.6
Kerosene or other liquid fuel,0.8
Coal or coke,.
Wood,1.8
Solar energy,.
Other,.
,
Other Heating Equipment,
,
Warm-air furnace,.
Steam or hot water system,.
Electric heat pump,.
Built-in electric units,1.6
"Floor, wall, or other built-in hot-air units without ducts",.
Room heaters with flue,0.5
Room heaters without flue,2.2
Portable electric heaters,54.7
Stoves,2.3
Fireplaces with inserts,6.1
Fireplaces without inserts,15.9
Cooking stove,0.5
Other,1.5
None,717.6
,
Air conditioning,
,
Central,775.6
  Additional central,80.8
Room (air conditioning) units:,
  1 unit,11.8
  2 units,9.8
  3 units or more,6.3
None,0
Central Air Conditioning Fuel,
,
      With central air conditioning,775.6
Electricity,772
Piped gas,3.1
Other,0.5
,
Other Central Air Fuel,
,
      With other central air,80.8
Electricity,80.5
Gas,0.3
Other,.
,
Water Heating Fuel,
,
      With hot piped water,812.9
Electricity,760.5
Piped gas,44.3
Bottled gas,5.8
Fuel oil,.
Solar energy,2.1
Other,0.3
,
Kitchen and Laundry Equipment,
,
"With complete kitchen (sink, refrigerator, and oven or burners)",805.7
Lacking complete kitchen facilities,7.5
Kitchen sink,810.4
Disposal in kitchen sink,654.5
Refrigerator,810.7
Cooking stove or range,808.6
"Burners, no stove or range",0.5
Microwave oven only,2.5
Dishwasher,694.3
Trash compactor,84.6
Washing machine,727.8
Clothes dryer,712
,
Cooking Fuel,
,
      With cooking fuel,811.7
Electricity,754.3
Piped gas,40.5
Bottled gas,16.1
Other,0.8
,
Clothes Dryer Fuel,
,
      With clothes dryer,712
Electricity,690.4
Piped gas,18.8
Other,2.8
