Characteristics,Estimate
      Total,2308.40
,
Rooms,
,
1,S
2,18.00
3,163.10
4,272.30
5,386.10
6,594.70
7,364.30
8,286.20
9,125.00
10 or more,91.80
,
Persons per Room,
,
0.50 or less,1704.10
0.51 to 1.00,574.20
1.01 to 1.50,27.50
1.51 or more,S
,
Bedrooms,
,
None,S
1,238.70
2,469.50
3,985.50
4 or more,605.80
,
Persons per Bedroom,
,
0.50 or less,638.00
0.51 to 1.00,1112.60
1.01 to 1.50,311.20
1.51 or more,237.70
No bedrooms,S
,
Bathrooms,
,
At least 1 complete bathroom,2307.10
1,775.90
1 1/2,432.00
2,363.90
2 1/2,563.40
3,136.20
  More than 3,35.70
No complete bathroom,S
  Sink and toilet present,.
  Tub and toilet present,.
  Toilet only present,.
"  No sink, bathtub, shower, or toilet present",S
,
Square Footage of Unit,
,
Less than 500,44.70
500 to 749,106.40
750 to 999,193.80
"1,000 to 1,499",447.10
"1,500 to 1,999",379.70
"2,000 to 2,499",278.30
"2,500 to 2,999",178.10
"3,000 to 3,999",145.80
"4,000 or more",68.40
Not reported,466.10
Median (square feet),1600.00
,
Square Feet per Person,
,
Less than 200,52.70
200 to 299,124.40
300 to 399,166.30
400 to 499,184.00
500 to 599,184.50
600 to 699,179.90
700 to 799,146.40
800 to 899,121.10
900 to 999,100.50
"1,000 to 1,499",333.40
"1,500 or more",249.00
Not reported,466.10
Median (square feet),700.00
,
Lot Size,
,
      1-unit structures,1758.00
Less than 1/8 acre,705.20
1/8 up to 1/4 acre,380.30
1/4 up to 1/2 acre,317.00
1/2 up to 1 acre,176.00
1 up to 5 acres,150.90
5 up to 10 acres,19.80
10 acres or more,S
,
Selected Amenities,
,
"Porch, deck, balcony, or patio",1818.20
Usable fireplace,803.20
Separate dining room,1506.20
"With 2 or more living rooms or recreation rooms, etc.",875.10
,
Vehicle Parking,
,
Garage or carport,1167.40
,
Phone Service,
,
Cell phone available,1896.70
