,House Size,AC Type,<15k,15k-34999,35k-74999,75k-99999,>100k,counts
0,0-1499,Central,0.13874461285161233,0.23018730171674384,0.2933517288481976,0.15874771482606778,0.1789686417573785,1.0
1,0-1499,Room,0.15807371178333293,0.28385992701158225,0.3487005022216845,0.09409022743977274,0.11527563154362762,1.0000000000000002
2,0-1499,None,0.21303797952341608,0.28094373641920367,0.3385067226870913,0.10642697850814625,0.06108458286214256,0.9999999999999999
3,1500-2499,Central,0.051026624770262034,0.0953293950536023,0.25337112951946106,0.12108355126209928,0.47918929939457533,1.0
4,1500-2499,Room,0.13836468894949652,0.1419198427134905,0.29313945176468564,0.11520430778005816,0.3113717087922692,1.0
5,1500-2499,None,0.2740550139571894,0.3205624498558642,0.18001868363236845,0.15242891158186642,0.07293494097271155,1.0
6,2500-3499,Central,0.02934794760886111,0.04515302430376849,0.19818780545981637,0.10751618830455119,0.6197950343230028,0.9999999999999999
7,2500-3499,Room,0.3824255632983309,0.11452045004288199,0.20697707689853787,0.1156868928590589,0.18039001690119033,1.0
8,2500-3499,None,0.20642457899861064,0.0571242838754261,0.27565557332058777,0.3021049349988258,0.1586906288065497,1.0
9,3500+,Central,0.10412647022958257,0.04258743975846685,0.1346972670241341,0.0645318182730841,0.6540570047147324,1.0
10,3500+,Room,0.1334635592622135,0.21814449592241314,0.39190913477421735,0.11903630405341033,0.13744650598774563,1.0
11,3500+,None,0.12789627901904085,0.21346803992424201,0.2744360400818281,0.2408099098644651,0.1433897311104238,0.9999999999999998
