"Month","Scenario","Median","Q1","Q3","IQR"
"January","CHHW",0.11580079483497,0.0511561103421263,0.277844720953261,0.226688610611134
"January","CHFW_cool",0.10564254422253,0.0469276076549431,0.252517958844663,0.20559035118972
"January","CHFW_hot",0.102266754299169,0.0455124603239819,0.244701347482391,0.199188887158409
"January","FHHW",0.0837731752004474,0.0388020056043752,0.192886173429317,0.154084167824942
"January","FHFW_cool",0.0768309722612612,0.0358637004648335,0.175948846759391,0.140085146294557
"January","FHFW_hot",0.0739954878392164,0.0346312715074746,0.169656010633102,0.135024739125627
"July","CHHW",0.0471663517605048,0.0221223123231903,0.107411939715385,0.0852896273921942
"July","CHFW_cool",0.0575118797826581,0.0267656719232909,0.133001036586123,0.106235364662833
"July","CHFW_hot",0.0593040485407691,0.0276113027923275,0.1370736031665,0.109462300374173
"July","FHHW",0.0437180515418295,0.0206832814801019,0.0988774857537355,0.0781942042736337
"July","FHFW_cool",0.0511670596664771,0.0241903609408764,0.116435222708504,0.0922448617676273
"July","FHFW_hot",0.0525694579596166,0.0248733077957295,0.1195936355663,0.0947203277705703
