"Characteristics","Estimate"
"      Total","1,685.6"
"",""
"Units Using Each Fuel",""
"",""
"Electricity","1,685.6"
"Gas","759.0"
"Fuel oil","S"
"Other","29.0"
"",""
"Main Heating Equipment",""
"",""
"Warm-air furnace","996.0"
"Steam or hot water system","."
"Electric heat pump","587.0"
"Built-in electric units","S"
"Floor, wall, or other built-in hot-air units without ducts","54.0"
"Room heaters with flue","S"
"Room heaters without flue","."
"Portable electric heaters","24.8"
"Stoves","S"
"Fireplaces with inserts","S"
"Fireplaces without inserts","S"
"Cooking stove","S"
"Other","S"
"None","S"
"",""
"Main House Heating Fuel",""
"",""
"      Housing units with heating fuel","1,679.4"
"Electricity","1,298.6"
"Piped gas","363.0"
"Bottled gas","S"
"Fuel oil","."
"Kerosene or other liquid fuel","S"
"Coal or coke","."
"Wood","S"
"Solar energy","."
"Other","S"
"",""
"Supplemental Heating Equipment",""
"",""
"Warm-air furnace","16.9"
"Steam or hot water system","."
"Electric heat pump","S"
"Built-in electric units","S"
"Floor, wall, or other built-in hot-air units without ducts","S"
"Room heaters with flue","S"
"Room heaters without flue","S"
"Portable electric heaters","36.9"
"Stoves","S"
"Outdoor wood fired boiler","."
"Gas oven with the door open","."
"Cooking stove","70.3"
"Other","S"
"Not reported","S"
"No supplemental heating","1,544.1"
"",""
"Primary Air Conditioning",""
"",""
"With primary air conditioning","1,648.2"
"  Central air conditioning","1,618.8"
"    Powered by:",""
"      Electric","1,607.0"
"      Piped gas","S"
"      Liquid propane gas","S"
"      Other","S"
"  Room air conditioning","29.3"
"    Unit has 1 room air conditioner","8.7"
"    Unit has 2 room air conditioners","14.0"
"    Unit has 3 room air conditioners","S"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have air conditioning","37.4"
"",""
"Secondary Air Conditioning",""
"",""
"With secondary air conditioning","268.0"
"  Central air conditioning","207.0"
"    Powered by:",""
"      Electric","204.8"
"      Piped gas","S"
"      Liquid propane gas","."
"      Other","S"
"  Room air conditioning","61.1"
"    Unit has 1 room air conditioner","40.0"
"    Unit has 2 room air conditioners","15.8"
"    Unit has 3 room air conditioners","S"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have secondary air conditioning","1,417.6"
"",""
"Water Heating Fuel",""
"",""
"      With hot piped water","1,683.2"
"Electricity","1,063.4"
"Piped gas","595.4"
"Bottled gas","14.9"
"Fuel oil","."
"Solar energy","S"
"Other","S"
"",""
"Kitchen Equipment",""
"",""
"With complete kitchen (sink, refrigerator, and oven or burners)","1,667.3"
"Lacking complete kitchen facilities","18.4"
"Kitchen sink","1,683.6"
"Refrigerator","1,681.6"
"Cooking stove or range","1,672.7"
"Burners, no stove or range","S"
"Microwave oven only","S"
"Dishwasher","1,417.2"
"",""
"Laundry Equipment",""
"",""
"Washing machine","1,521.0"
"Clothes dryer","1,506.2"
"",""
"Cooking Fuel",""
"",""
"      With cooking fuel","1,679.8"
"Electricity","1,288.1"
"Piped gas","363.5"
"Bottled gas","26.1"
"Other","S"
"",""
"Clothes Dryer Fuel",""
"",""
"      With clothes dryer","1,506.2"
"Electricity","1,325.1"
"Piped gas","172.2"
"Bottled gas","S"
"Other","S"
"",""
"Carbon Monoxide Detector",""
"",""
"Yes","757.7"
"No","900.3"
"Not reported","27.6"
"",""
"Solar Panels",""
"",""
"Yes","109.8"
"No","1,574.4"
"Not reported","S"
"",""
