Characteristics,Estimate
      Total,1706.20
,
Rooms,
,
1,20.00
2,58.40
3,227.10
4,303.60
5,343.50
6,320.50
7,190.50
8,142.00
9,64.00
10 or more,36.50
,
Persons per Room,
,
0.50 or less,1065.80
0.51 to 1.00,573.50
1.01 to 1.50,50.90
1.51 or more,16.00
,
Bedrooms,
,
None,53.10
1,307.40
2,470.80
3,507.70
4 or more,367.20
,
Persons per Bedroom,
,
0.50 or less,312.90
0.51 to 1.00,792.60
1.01 to 1.50,235.40
1.51 or more,312.20
No bedrooms,53.10
,
Bathrooms,
,
At least 1 complete bathroom,1697.30
1,691.50
1 1/2,137.90
2,445.40
2 1/2,208.20
3,177.70
  More than 3,36.50
No complete bathroom,S
  Sink and toilet present,.
  Tub and toilet present,.
  Toilet only present,.
"  No sink, bathtub, shower, or toilet present",S
,
Square Footage of Unit,
,
Less than 500,83.80
500 to 749,187.20
750 to 999,240.10
"1,000 to 1,499",427.20
"1,500 to 1,999",292.90
"2,000 to 2,499",174.00
"2,500 to 2,999",88.40
"3,000 to 3,999",73.00
"4,000 or more",20.10
Not reported,119.50
Median (square feet),1250.00
,
Square Feet per Person,
,
Less than 200,71.00
200 to 299,179.20
300 to 399,231.40
400 to 499,194.80
500 to 599,172.40
600 to 699,160.30
700 to 799,99.00
800 to 899,96.40
900 to 999,77.80
"1,000 to 1,499",184.40
"1,500 or more",120.00
Not reported,119.50
Median (square feet),550.00
,
Lot Size,
,
      1-unit structures,1019.00
Less than 1/8 acre,455.40
1/8 up to 1/4 acre,427.70
1/4 up to 1/2 acre,90.40
1/2 up to 1 acre,23.20
1 up to 5 acres,19.70
5 up to 10 acres,S
10 acres or more,S
,
Selected Amenities,
,
"Porch, deck, balcony, or patio",1296.80
Usable fireplace,862.60
Separate dining room,802.40
"With 2 or more living rooms or recreation rooms, etc.",451.50
,
Vehicle Parking,
,
Garage or carport,1354.10
,
Phone Service,
,
Cell phone available,1353.30
