"Characteristics","Estimate"
"      Total","1,485.7"
"",""
"Rooms",""
"",""
"1","S"
"2","25.3"
"3","164.1"
"4","275.8"
"5","276.1"
"6","253.3"
"7","192.4"
"8","150.1"
"9","84.0"
"10 or more","58.9"
"",""
"Persons per Room",""
"",""
"0.50 or less","1,066.5"
"0.51 to 1.00","391.1"
"1.01 to 1.50","26.1"
"1.51 or more","S"
"",""
"Bedrooms",""
"",""
"None","29.9"
"1","207.9"
"2","388.2"
"3","504.6"
"4 or more","355.0"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","342.0"
"0.51 to 1.00","728.0"
"1.01 to 1.50","192.5"
"1.51 or more","193.3"
"No bedrooms","29.9"
"",""
"Bathrooms",""
"",""
"At least 1 complete bathroom","1,485.2"
"  1","470.5"
"  1 1/2","182.5"
"  2","352.4"
"  2 1/2","317.1"
"  3","147.9"
"  More than 3","14.9"
"No complete bathroom","S"
"  Sink and toilet present","."
"  Tub and toilet present","."
"  Toilet only present","S"
"  No sink, bathtub, shower, or toilet present","."
"",""
"Square Footage of Unit",""
"",""
"Less than 500","35.8"
"500 to 749","152.4"
"750 to 999","212.5"
"1,000 to 1,499","317.2"
"1,500 to 1,999","266.9"
"2,000 to 2,499","206.0"
"2,500 to 2,999","105.8"
"3,000 to 3,999","108.5"
"4,000 or more","32.0"
"Not reported","48.5"
"Median (square feet)","1,500.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","33.9"
"200 to 299","102.4"
"300 to 399","153.8"
"400 to 499","171.4"
"500 to 599","148.9"
"600 to 699","150.3"
"700 to 799","120.1"
"800 to 899","97.7"
"900 to 999","86.5"
"1,000 to 1,499","223.7"
"1,500 or more","148.5"
"Not reported","48.5"
"Median (square feet)","650.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","966.9"
"Less than 1/8 acre","181.0"
"1/8 up to 1/4 acre","438.0"
"1/4 up to 1/2 acre","169.3"
"1/2 up to 1 acre","54.2"
"1 up to 5 acres","88.2"
"5 up to 10 acres","23.7"
"10 acres or more","12.5"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","1,307.8"
"Usable fireplace","899.4"
"Separate dining room","624.6"
"With 2 or more living rooms or recreation rooms, etc.","561.6"
"",""
"Vehicle Parking",""
"",""
"Garage or carport","1,086.9"
"",""
"Phone Service",""
"",""
"Cell phone available","1,182.9"
"",""
