"Characteristics","Estimate"
"      Total","1,485.7"
"",""
"Units Using Each Fuel",""
"",""
"Electricity","1,484.4"
"Gas","775.6"
"Fuel oil","40.7"
"Other","135.5"
"",""
"Main Heating Equipment",""
"",""
"Warm-air furnace","893.5"
"Steam or hot water system","41.7"
"Electric heat pump","68.9"
"Built-in electric units","357.6"
"Floor, wall, or other built-in hot-air units without ducts","74.6"
"Room heaters with flue","7.7"
"Room heaters without flue","S"
"Portable electric heaters","10.8"
"Stoves","13.9"
"Fireplaces with inserts","S"
"Fireplaces without inserts","S"
"Cooking stove","."
"Other","S"
"None","S"
"",""
"Main House Heating Fuel",""
"",""
"      Housing units with heating fuel","1,484.2"
"Electricity","870.6"
"Piped gas","527.4"
"Bottled gas","26.1"
"Fuel oil","37.3"
"Kerosene or other liquid fuel","S"
"Coal or coke","."
"Wood","16.8"
"Solar energy","."
"Other","S"
"",""
"Supplemental Heating Equipment",""
"",""
"Warm-air furnace","24.9"
"Steam or hot water system","S"
"Electric heat pump","14.9"
"Built-in electric units","39.6"
"Floor, wall, or other built-in hot-air units without ducts","S"
"Room heaters with flue","S"
"Room heaters without flue","7.1"
"Portable electric heaters","163.4"
"Stoves","30.7"
"Outdoor wood fired boiler","S"
"Gas oven with the door open","."
"Cooking stove","28.6"
"Other","19.4"
"Not reported","."
"No supplemental heating","1,173.4"
"",""
"Primary Air Conditioning",""
"",""
"With primary air conditioning","611.4"
"  Central air conditioning","280.2"
"    Powered by:",""
"      Electric","251.4"
"      Piped gas","27.5"
"      Liquid propane gas","S"
"      Other","S"
"  Room air conditioning","331.1"
"    Unit has 1 room air conditioner","238.1"
"    Unit has 2 room air conditioners","74.3"
"    Unit has 3 room air conditioners","14.1"
"    Unit has 4 room air conditioners","S"
"    Unit has 5 room air conditioners","S"
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have air conditioning","874.3"
"",""
"Secondary Air Conditioning",""
"",""
"With secondary air conditioning","36.7"
"  Central air conditioning","17.8"
"    Powered by:",""
"      Electric","15.3"
"      Piped gas","S"
"      Liquid propane gas","."
"      Other","."
"  Room air conditioning","18.9"
"    Unit has 1 room air conditioner","14.1"
"    Unit has 2 room air conditioners","S"
"    Unit has 3 room air conditioners","S"
"    Unit has 4 room air conditioners","."
"    Unit has 5 room air conditioners","."
"    Unit has 6 room air conditioners","."
"    Unit has 7 or more room air conditioners","."
"Unit does not have secondary air conditioning","1,448.9"
"",""
"Water Heating Fuel",""
"",""
"      With hot piped water","1,482.3"
"Electricity","911.5"
"Piped gas","533.7"
"Bottled gas","32.1"
"Fuel oil","S"
"Solar energy","."
"Other","S"
"",""
"Kitchen Equipment",""
"",""
"With complete kitchen (sink, refrigerator, and oven or burners)","1,472.2"
"Lacking complete kitchen facilities","13.4"
"Kitchen sink","1,483.7"
"Refrigerator","1,480.3"
"Cooking stove or range","1,469.3"
"Burners, no stove or range","S"
"Microwave oven only","8.6"
"Dishwasher","1,307.2"
"",""
"Laundry Equipment",""
"",""
"Washing machine","1,313.2"
"Clothes dryer","1,313.6"
"",""
"Cooking Fuel",""
"",""
"      With cooking fuel","1,482.4"
"Electricity","1,089.0"
"Piped gas","353.1"
"Bottled gas","39.6"
"Other","S"
"",""
"Clothes Dryer Fuel",""
"",""
"      With clothes dryer","1,313.6"
"Electricity","1,197.5"
"Piped gas","109.9"
"Bottled gas","S"
"Other","."
"",""
"Carbon Monoxide Detector",""
"",""
"Yes","1,127.1"
"No","325.9"
"Not reported","32.7"
"",""
"Solar Panels",""
"",""
"Yes","12.2"
"No","1,469.8"
"Not reported","S"
"",""
