"Characteristics","Estimate"
"      Total","1,095.3"
"",""
"Rooms",""
"",""
"1","1.2"
"2","2.7"
"3","72.7"
"4","174.7"
"5","251.2"
"6","220.7"
"7","168.7"
"8","113.9"
"9","53.1"
"10 or more","36.6"
"",""
"Persons per Room",""
"",""
"0.50 or less","831.6"
"0.51 to 1.00","253.5"
"1.01 to 1.50","9.3"
"1.51 or more","0.8"
"",""
"Bedrooms",""
"",""
"None","3.1"
"1","106.1"
"2","293.0"
"3","446.9"
"4 or more","246.2"
"",""
"Persons per Bedroom",""
"",""
"0.50 or less","313.3"
"0.51 to 1.00","542.8"
"1.01 to 1.50","147.7"
"1.51 or more","88.3"
"No bedrooms","3.1"
"",""
"Complete Bathrooms",""
"",""
"None","1.5"
"1","382.1"
"1 1/2","171.1"
"2 or more","540.6"
"",""
"Square Footage of Unit",""
"",""
"Less than 500","14.0"
"500 to 749","48.8"
"750 to 999","120.5"
"1,000 to 1,499","213.1"
"1,500 to 1,999","159.2"
"2,000 to 2,499","126.9"
"2,500 to 2,999","70.8"
"3,000 to 3,999","95.8"
"4,000 or more","66.9"
"Not reported","179.3"
"Median (square feet)","1,600.0"
"",""
"Square Feet per Person",""
"",""
"Less than 200","13.5"
"200 to 299","41.5"
"300 to 399","71.1"
"400 to 499","94.9"
"500 to 599","88.0"
"600 to 699","88.1"
"700 to 799","63.6"
"800 to 899","69.4"
"900 to 999","50.1"
"1,000 to 1,499","166.7"
"1,500 or more","169.0"
"Not reported","179.3"
"Median (square feet)","777.0"
"",""
"Lot Size",""
"",""
"      1-unit structures","856.4"
"Less than 1/8 acre","106.6"
"1/8 up to 1/4 acre","231.7"
"1/4 up to 1/2 acre","204.0"
"1/2 up to 1 acre","127.5"
"1 up to 5 acres","129.8"
"5 up to 10 acres","25.6"
"10 acres or more","31.3"
"",""
"Rooms Used for Business",""
"",""
"Business only:",""
"  1 or more rooms with direct access","27.4"
"  1 or more rooms, no direct access","59.9"
"  Not reported","3.1"
"",""
"Business and other use:",""
"  1 or more rooms","124.6"
"  Not reported","3.1"
"",""
"Selected Amenities",""
"",""
"Porch, deck, balcony, or patio","980.9"
"Telephone available","1,039.8"
"Usable fireplace","437.1"
"Separate dining room","552.9"
"With 2 or more living rooms or recreation rooms, etc.","400.0"
"",""
"Vehicle Parking",""
"",""
"Garage or carport included with home","776.5"
"Garage or carport not included with home","318.4"
"  Driveway or off-street parking available","267.6"
"  Driveway or off-street parking not available","50.8"
"  Driveway or off-street parking not reported","."
"Garage or carport not reported","0.5"
"",""
"Vehicles Available",""
"",""
"Vehicle(s) (cars, trucks, or vans)","1,018.4"
"  1 vehicle","356.8"
"  2 vehicles","424.7"
"  3 or more vehicles","236.9"
"No vehicles","76.9"
"",""
"Car(s)","907.0"
"  1 car","517.2"
"  2 cars","293.4"
"  3 or more cars","96.4"
"No cars","188.4"
"",""
"Truck(s) or van(s)","462.8"
"  1 truck or van","348.2"
"  2 or more truck(s) or van(s)","114.7"
"No truck(s) or van(s)","632.5"
"",""
