Characteristics,Estimate
      Total,"1,095.30"
,
Units Using Each Fuel,
,
Electricity,"1,095.30"
Piped gas,810.8
Bottled gas,71.4
Fuel oil,4.8
Kerosene or other liquid fuel,1.1
Coal or coke,.
Wood,8.6
Solar energy,.
Other,7.3
,
All electric units,227.3
,
Main Heating Equipment,
,
Warm-air furnace,"1,002.50"
Steam or hot water system,32.6
Electric heat pump,23.2
Built-in electric units,17.5
"Floor, wall, or other built-in hot-air units without ducts",9.3
Room heaters with flue,2.9
Room heaters without flue,0.7
Portable electric heaters,3
Stoves,2.1
Fireplaces with inserts,0.8
Fireplaces without inserts,.
Cooking stove,.
Other,0.4
None,0.4
,
Main House Heating Fuel,
,
      Housing units with heating fuel,"1,095.00"
Electricity,298.3
Piped gas,728.8
Bottled gas,50.7
Fuel oil,4.1
Kerosene or other liquid fuel,0.7
Coal or coke,.
Wood,8.6
Solar energy,.
Other,3.8
,
Other Heating Equipment,
,
Warm-air furnace,2.2
Steam or hot water system,.
Electric heat pump,.
Built-in electric units,24.7
"Floor, wall, or other built-in hot-air units without ducts",3
Room heaters with flue,3.1
Room heaters without flue,13.8
Portable electric heaters,195.4
Stoves,24
Fireplaces with inserts,56.6
Fireplaces without inserts,54.3
Cooking stove,.
Other,6.1
None,751.5
,
Air conditioning,
,
Central,1002.9
  Additional central,64.4
Room (air conditioning) units:,83
  1 unit,38.1
  2 units,29.8
  3 units or more,16.3
None,0
Central Air Conditioning Fuel,
,
      With central air conditioning,"1,002.90"
Electricity,983.1
Piped gas,17.1
Other,2.7
,
Other Central Air Fuel,
,
      With other central air,64.4
Electricity,63.7
Gas,0.7
Other,.
,
Water Heating Fuel,
,
      With hot piped water,"1,094.60"
Electricity,348.3
Piped gas,701.9
Bottled gas,40.7
Fuel oil,0.3
Solar energy,.
Other,3.5
,
Kitchen and Laundry Equipment,
,
"With complete kitchen (sink, refrigerator, and oven or burners)","1,083.90"
Lacking complete kitchen facilities,11.4
Kitchen sink,"1,094.90"
Disposal in kitchen sink,700.5
Refrigerator,"1,093.00"
Cooking stove or range,"1,089.10"
"Burners, no stove or range",1.5
Microwave oven only,4
Dishwasher,740.7
Trash compactor,26.6
Washing machine,952.7
Clothes dryer,941.3
,
ENERGY STAR Rated Appliances,
,
Refrigerator,348.8
Dishwasher,239.6
Trash compactor,4.5
Washing machine,317.6
Clothes dryer,151.3
Central air conditioning equipment,206.5
Room air conditioner,42.9
Heating equipment,216
,
Cooking Fuel,
,
      With cooking fuel,"1,094.10"
Electricity,644.8
Piped gas,408.6
Bottled gas,39.6
Other,1.1
,
Clothes Dryer Fuel,
,
      With clothes dryer,941.3
Electricity,707.6
Piped gas,217.9
Other,15.8
